Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
ABCB9	ABCB9	274.81609986492	-0.145022989068633	0.114009436288489	-1.2720261917765	0.203363813398473	0.75083988936143	ENSG00000150967	protein_coding	chr12	122920951	122981649	chr12:122920951	ABCB9	protein_coding	chr12	122920951	122981649	chr12:122920951	ENSG00000150967
ABCC1	ABCC1	6086.96242253439	0.0379714231271907	0.089943694461585	0.422168817441764	0.672901800215003	0.947924282145844	ENSG00000103222	protein_coding	chr16	15949577	16143074	chr16:15949577	ABCC1	protein_coding	chr16	15949138	16143257	chr16:15949138	ENSG00000103222
ABCC10	ABCC10	1252.89236770384	-0.0297724490098306	0.049449468256975	-0.602078243897621	0.547122055680197	0.912945323607702	ENSG00000124574	protein_coding	chr6	43427366	43450430	chr6:43427366	ABCC10	protein_coding	chr6	43427366	43450427	chr6:43427366	ENSG00000124574
ABCC3	ABCC3	1946.19088623719	0.169809367790365	0.160606273291782	1.05730221061704	0.290373684700325	0.811152256055401	ENSG00000108846	protein_coding	chr17	50634777	50692252	chr17:50634777	ABCC3	protein_coding	chr17	50634777	50692253	chr17:50634777	ENSG00000108846
ABCC4	ABCC4	3251.17137017146	-0.0421102234092046	0.0500573388555949	-0.841239753688943	0.40021363396964	0.867063790074551	ENSG00000125257	protein_coding	chr13	95019829	95301446	chr13:95019829	ABCC4	protein_coding	chr13	95019835	95301475	chr13:95019835	ENSG00000125257
ABCC5	ABCC5	1434.89907223616	-0.014177866125809	0.0782039183774306	-0.181293551780657	0.856137167100719	0.979726066179946	ENSG00000114770	protein_coding	chr3	183919934	184018015	chr3:183919934	ABCC5	protein_coding	chr3	183919934	184017939	chr3:183919934	ENSG00000114770
ABCC9	ABCC9	3310.52041136642	-0.203341574788328	0.24871325953109	-0.817574323024422	0.413600294234698	0.872758022443527	ENSG00000069431	protein_coding	chr12	21797401	21941402	chr12:21797401	ABCC9	protein_coding	chr12	21797389	21942543	chr12:21797389	ENSG00000069431
ABCD1	ABCD1	1023.60184921377	0.0580474460594137	0.0866178127144071	0.670155990325056	0.502758355567569	0.897367111583712	ENSG00000101986	protein_coding	chrX	153724868	153744762	chrX:153724868	ABCD1	protein_coding	chrX	153724856	153744755	chrX:153724856	ENSG00000101986
ABCD3	ABCD3	4281.75043636182	0.00280011508444031	0.0561507530217309	0.0498678100248564	0.960227729253274	0.994197896182432	ENSG00000117528	protein_coding	chr1	94418455	94518666	chr1:94418455	ABCD3	protein_coding	chr1	94418389	94518666	chr1:94418389	ENSG00000117528
ABCD4	ABCD4	938.974441226195	0.0712873079542268	0.083883529531211	0.849836771921985	0.395415842418128	0.865538063607953	ENSG00000119688	protein_coding	chr14	74285423	74303056	chr14:74285423	ABCD4	protein_coding	chr14	74285269	74303055	chr14:74285269	ENSG00000119688
ABCE1	ABCE1	10431.0073054243	-0.0654168102155172	0.0793662460142593	-0.824239692573643	0.409803377756233	0.872090089410158	ENSG00000164163	protein_coding	chr4	145097932	145129179	chr4:145097932	ABCE1	protein_coding	chr4	145098288	145129524	chr4:145098288	ENSG00000164163
ABCF1	ABCF1	5121.89402179426	-0.0554449716232278	0.0574754238841612	-0.964672687494647	0.334708779481663	0.837780418737404	ENSG00000204574	protein_coding	chr6	30571376	30597179	chr6:30571376	ABCF1	protein_coding	chr6	30571393	30597179	chr6:30571393	ENSG00000204574
ABCF2	ABCF2	6313.6863610593	-0.0899491220355505	0.0652965852178356	-1.37754710656724	0.168343161234205	0.722250756118836	ENSG00000033050	protein_coding	chr7	151207837	151227230	chr7:151207837	ABCF2	protein_coding	chr7	151211484	151227205	chr7:151211484	ENSG00000033050
ABCF3	ABCF3	2472.86018227073	-0.0181605190920111	0.0344516794371614	-0.527130154137632	0.598103207909387	0.927038430620056	ENSG00000161204	protein_coding	chr3	184186023	184194012	chr3:184186023	ABCF3	protein_coding	chr3	184186095	184194012	chr3:184186095	ENSG00000161204
ABHD10	ABHD10	1847.33334065077	-0.0219495893432895	0.0735388951580664	-0.298475919390828	0.765339952529396	0.967508234265255	ENSG00000144827	protein_coding	chr3	111979010	111993363	chr3:111979010	ABHD10	protein_coding	chr3	111979010	111993368	chr3:111979010	ENSG00000144827
ABHD11	ABHD11	377.93736983058	0.0934658993979958	0.140213264998501	0.666598123929254	0.50502886777588	0.897756762697955	ENSG00000106077	protein_coding	chr7	73736094	73738867	chr7:73736094	ABHD11	protein_coding	chr7	73736094	73738852	chr7:73736094	ENSG00000106077
ABHD12	ABHD12	2867.65533269285	0.0163913548308307	0.132913034613967	0.123323907835208	0.901850609621944	0.986250206628907	ENSG00000100997	protein_coding	chr20	25294743	25390983	chr20:25294743	ABHD12	protein_coding	chr20	25294742	25390835	chr20:25294742	ENSG00000100997
ABHD13	ABHD13	1398.70169349154	-0.0124390225955337	0.044506384664686	-0.279488497869466	0.77986996384617	0.96964810115012	ENSG00000139826	protein_coding	chr13	108218379	108234255	chr13:108218379	ABHD13	protein_coding	chr13	108218392	108234243	chr13:108218392	ENSG00000139826
ABHD14A	ABHD14A	457.549968911529	0.0187248642656072	0.1056204229856	0.177284503662327	0.859284922281072	0.980542779134001	ENSG00000248487	protein_coding	chr3	51971426	51981199	chr3:51971426	ABHD14A	protein_coding	chr3	51971426	51981196	chr3:51971426	ENSG00000248487
ABHD14B	ABHD14B	2474.73808098917	0.0919261287665078	0.0719227526798235	1.27812306038581	0.201206039123408	0.750005735933637	ENSG00000114779	protein_coding	chr3	51968510	51983409	chr3:51968510	ABHD14B	protein_coding	chr3	51968510	51983409	chr3:51968510	ENSG00000114779
ABHD15	ABHD15	732.767076140058	0.0520371745435878	0.0714277961537212	0.728528350946144	0.466290220223899	0.886068181959144	ENSG00000168792	protein_coding	chr17	29560547	29567137	chr17:29560547	ABHD15	protein_coding	chr17	29560547	29567037	chr17:29560547	ENSG00000168792
ABHD16A	ABHD16A	1351.28334081869	0.00429096798493424	0.054023839902043	0.079427304551374	0.936692751351476	0.991392918644454	ENSG00000204427	protein_coding	chr6	31686949	31703444	chr6:31686949	ABHD16A	protein_coding	chr6	31686955	31703356	chr6:31686955	ENSG00000204427
ABHD17A	ABHD17A	2724.11153399407	-0.271968822106064	0.159568331187659	-1.70440349962811	0.0883057305718401	0.615908116859188	ENSG00000129968	protein_coding	chr19	1876810	1885547	chr19:1876810	ABHD17A	protein_coding	chr19	1876810	1885496	chr19:1876810	ENSG00000129968
ABHD17B	ABHD17B	885.087768930759	-0.0898816313233382	0.0677304831416364	-1.32704843010465	0.18449266273444	0.737598265640326	ENSG00000107362	protein_coding	chr9	71862452	71910931	chr9:71862452	ABHD17B	protein_coding	chr9	71862452	71911193	chr9:71862452	ENSG00000107362
ABHD17C	ABHD17C	1211.72237023755	-0.00281308088303937	0.0939832878221569	-0.029931713906014	0.976121513135151	0.996896415788536	ENSG00000136379	protein_coding	chr15	80679684	80755621	chr15:80679684	ABHD17C	protein_coding	chr15	80679684	80755621	chr15:80679684	ENSG00000136379
ABHD18	ABHD18	421.223926442856	-0.0292506521923623	0.0631555378353713	-0.46315261012598	0.643254981937644	0.939570617616789	ENSG00000164074	protein_coding	chr4	127965306	128039711	chr4:127965306	ABHD18	protein_coding	chr4	127965306	128039953	chr4:127965306	ENSG00000164074
ABHD2	ABHD2	6150.502768551	0.111023857935266	0.084996705839492	1.3062136566201	0.191479909905035	0.74329593780256	ENSG00000140526	protein_coding	chr15	89087459	89202360	chr15:89087459	ABHD2	protein_coding	chr15	89087459	89202355	chr15:89087459	ENSG00000140526
ABHD3	ABHD3	228.555702366076	0.031986611985004	0.140778089451806	0.227212999619194	0.82025811979437	0.974930885691022	ENSG00000158201	protein_coding	chr18	21650897	21704805	chr18:21650897	ABHD3	protein_coding	chr18	21650901	21704780	chr18:21650901	ENSG00000158201
ABHD4	ABHD4	2829.34791805086	-0.0938521271330445	0.160781096693354	-0.583726128650821	0.559404585171424	0.916054957257021	ENSG00000100439	protein_coding	chr14	22598237	22613215	chr14:22598237	ABHD4	protein_coding	chr14	22598290	22612963	chr14:22598290	ENSG00000100439
ABHD5	ABHD5	1737.85072739121	0.111071349202621	0.107651538262809	1.03176741359202	0.302181088139838	0.820533071861449	ENSG00000011198	protein_coding	chr3	43690113	43734371	chr3:43690113	ABHD5	protein_coding	chr3	43690108	43734371	chr3:43690108	ENSG00000011198
ABHD6	ABHD6	444.071088651848	-0.117780524652701	0.0702130905130085	-1.67747244555315	0.0934501332510899	0.62526799492117	ENSG00000163686	protein_coding	chr3	58237506	58295693	chr3:58237506	ABHD6	protein_coding	chr3	58237532	58295693	chr3:58237532	ENSG00000163686
ABHD8	ABHD8	400.788898113495	-0.0369441624732507	0.104964855143823	-0.351966974304208	0.724863030373122	0.960561783354937	ENSG00000127220	protein_coding	chr19	17292131	17310236	chr19:17292131	ABHD8	protein_coding	chr19	17292131	17310236	chr19:17292131	ENSG00000127220
ABI1	ABI1	5191.57570254849	0.00075439146747447	0.0389201801949743	0.0193830414888954	0.984535538799605	0.998011788779906	ENSG00000136754	protein_coding	chr10	26746593	26861087	chr10:26746593	ABI1	protein_coding	chr10	26746593	26861087	chr10:26746593	ENSG00000136754
ABI2	ABI2	4150.60092633061	0.0232634456844728	0.0345766927076074	0.672807138646736	0.501069995614306	0.896877544901859	ENSG00000138443	protein_coding	chr2	203328219	203447723	chr2:203328219	ABI2	protein_coding	chr2	203328280	203447728	chr2:203328280	ENSG00000138443
ABI3BP	ABI3BP	6398.81320156787	0.0437861785082149	0.265693852667321	0.164799366145065	0.869101902963691	0.981067410977034	ENSG00000154175	protein_coding	chr3	100749156	100993515	chr3:100749156	ABI3BP	protein_coding	chr3	100749156	100993515	chr3:100749156	ENSG00000154175
ABL1	ABL1	11590.6712944364	0.0589999549150399	0.0761160378932749	0.775131713999169	0.438261833396927	0.87939830484536	ENSG00000097007	protein_coding	chr9	130713946	130887675	chr9:130713946	ABL1	protein_coding	chr9	130713016	130887675	chr9:130713016	ENSG00000097007
ABL2	ABL2	5166.82841502196	0.113828383445057	0.107223644252195	1.06159778693333	0.288418318831632	0.81020508006301	ENSG00000143322	protein_coding	chr1	179099327	179229684	chr1:179099327	ABL2	protein_coding	chr1	179099330	179229684	chr1:179099330	ENSG00000143322
ABLIM1	ABLIM1	426.202790142704	0.448860683335404	0.234235460437381	1.91627980877558	0.0553294895172254	0.538965832362885	ENSG00000099204	protein_coding	chr10	114431113	114685003	chr10:114431113	ABLIM1	protein_coding	chr10	114431112	114768061	chr10:114431112	ENSG00000099204
ABLIM3	ABLIM3	2596.62594335925	0.213308235268893	0.118936670595374	1.7934606223725	0.0728993016411705	0.588808103406823	ENSG00000173210	protein_coding	chr5	149141483	149260542	chr5:149141483	ABLIM3	protein_coding	chr5	149141483	149260542	chr5:149141483	ENSG00000173210
ABR	ABR	5690.84687849824	0.19217386767726	0.0528576322244767	3.63568816062613	0.000277239544903268	0.0485490605011228	ENSG00000159842	protein_coding	chr17	1003518	1229021	chr17:1003518	ABR	protein_coding	chr17	1003519	1229738	chr17:1003519	ENSG00000159842
ABRACL	ABRACL	1046.99931716884	-0.158700427609835	0.100976457258937	-1.57165771030048	0.116029954770855	0.659784278939011	ENSG00000146386	protein_coding	chr6	139028682	139043302	chr6:139028682	ABRACL	protein_coding	chr6	139028745	139043302	chr6:139028745	ENSG00000146386
ABT1	ABT1	1261.1051147842	-0.0923212253007937	0.0499783601667567	-1.84722397839298	0.064714685536447	0.567924230352833	ENSG00000146109	protein_coding	chr6	26596952	26600744	chr6:26596952	ABT1	protein_coding	chr6	26596953	26600739	chr6:26596953	ENSG00000146109
ABTB1	ABTB1	664.105090852597	0.121924870344267	0.107975449753955	1.12919066900947	0.258817409125758	0.789318735099249	ENSG00000114626	protein_coding	chr3	127672935	127680920	chr3:127672935	ABTB1	protein_coding	chr3	127672935	127680926	chr3:127672935	ENSG00000114626
ABTB2	ABTB2	1037.6282976402	-0.197556690965223	0.0989422475807458	-1.99668691378775	0.0458592045824041	0.513727325088634	ENSG00000166016	protein_coding	chr11	34150988	34358008	chr11:34150988	ABTB2	protein_coding	chr11	34150987	34358010	chr11:34150987	ENSG00000166016
AC002467.7	AC002467.7	46.3495582513816	0.0485588717695143	0.138717696810981	0.350055348999063	0.726297159695904	0.960698443567212	ENSG00000241764	antisense	chr7	107742817	107744581	chr7:107742817	CBLL1-AS1	lncRNA	chr7	107739999	107744581	chr7:107739999	ENSG00000241764
AC003956.1	AC003956.1	8.091909703883	0.391826539739843	0.222967422268884	1.75732641007674	0.0788621886982062	0.597922016004614	ENSG00000268564	antisense	chr19	15124160	15126174	chr19:15124160	ILVBL-AS1	lncRNA	chr19	15124160	15126174	chr19:15124160	ENSG00000268564
AC004381.6	AC004381.6	378.933187592063	0.0984308059518396	0.158978677768254	0.619144701249332	0.535821037458592	0.908833690558277	ENSG00000005189	protein_coding	chr16	20806429	20849668	chr16:20806429	REXO5	protein_coding	chr16	20806429	20849665	chr16:20806429	ENSG00000005189
AC005154.6	AC005154.6	244.260716742353	0.0195259593575079	0.0982911193845828	0.1986543594148	0.842533128271948	0.978244072926009	ENSG00000196295	processed_transcript	chr7	30516309	30594809	chr7:30516309	GARS1-DT	lncRNA	chr7	30516309	30595286	chr7:30516309	ENSG00000196295
AC005592.2	AC005592.2	28.3102453938211	0.29410450301828	0.180134258468841	1.63269610965842	0.102532926058209	0.640366417727672	ENSG00000231185	antisense	chr5	142325293	142672001	chr5:142325293	SPRY4-AS1	lncRNA	chr5	142325209	142672001	chr5:142325209	ENSG00000231185
AC005624.2	AC005624.2	8.82547885301884	0.267200583536535	0.236582694124221	1.12941728272076	0.258721845547345	0.789318735099249	ENSG00000267201	lincRNA	chr19	2458935	2462185	chr19:2458935	LINC01775	lncRNA	chr19	2458935	2462185	chr19:2458935	ENSG00000267201
AC005682.5	AC005682.5	177.377287194794	0.384149473575329	0.183232554296504	2.0965132263217	0.0360366878786009	0.476001844679987	ENSG00000228649	processed_transcript	chr7	22854178	22861579	chr7:22854178	SNHG26	lncRNA	chr7	22854126	22872952	chr7:22854126	ENSG00000228649
AC006145.4	AC006145.4	96.2906004476339	0.0729622439267063	0.0784089235631684	0.930534952031651	0.352094176042301	0.846991484975724	ENSG00000223770	antisense	chr7	82009177	82029955	chr7:82009177	CACNA2D1-AS1	lncRNA	chr7	82009177	82029955	chr7:82009177	ENSG00000223770
AC007246.3	AC007246.3	130.900814671439	0.181016086548122	0.123395400314724	1.46695975770924	0.142387002858415	0.691500887275062	ENSG00000231312	antisense	chr2	39436637	39665343	chr2:39436637	MAP4K3-DT	lncRNA	chr2	39436530	39665343	chr2:39436530	ENSG00000231312
AC007383.3	AC007383.3	86.8094522720922	0.268763650989608	0.116089640982508	2.31513896257206	0.0206053283317403	0.391377348091349	ENSG00000227946	lincRNA	chr2	206084605	206086564	chr2:206084605	INO80D-AS1	lncRNA	chr2	206084605	206086863	chr2:206084605	ENSG00000227946
AC007879.7	AC007879.7	65.854741817666	0.0620115501060565	0.115947267716633	0.534825454081493	0.592770560007217	0.925230614647404	ENSG00000229647	lincRNA	chr2	207239650	207245887	chr2:207239650	MYOSLID	lncRNA	chr2	207166120	207248668	chr2:207166120	ENSG00000229647
AC009133.12	AC009133.12	188.483524163306	0.0193047589952676	0.0655338307980697	0.294576995731436	0.768317037517623	0.968261530733078	ENSG00000238045	antisense	chr16	29808636	29821252	chr16:29808636	MVP-DT	lncRNA	chr16	29808636	29821252	chr16:29808636	ENSG00000238045
AC009403.2	AC009403.2	71.9436811665528	0.0575915653505632	0.0800462394482421	0.719478713148066	0.471846013412324	0.888315917131907	ENSG00000216895	antisense	chr7	155611231	155645205	chr7:155611231	RBM33-DT	lncRNA	chr7	155611231	155645205	chr7:155611231	ENSG00000216895
AC009506.1	AC009506.1	81.7943598523014	-0.113414862578594	0.0991929440943019	-1.14337631183496	0.252882383251796	0.787572233861413	ENSG00000224152	antisense	chr2	159615296	159617082	chr2:159615296	BAZ2B-AS1	lncRNA	chr2	159615292	159618637	chr2:159615292	ENSG00000224152
AC009948.5	AC009948.5	467.537903996001	-0.00662391125276818	0.0690217589442767	-0.0959684504435167	0.923545629775749	0.989693469570649	ENSG00000223960	antisense	chr2	178413939	178440243	chr2:178413939	CHROMR	lncRNA	chr2	178413635	178440243	chr2:178413635	ENSG00000223960
AC010127.3	AC010127.3	23.4894027973018	0.00412114937726423	0.140222452287758	0.0293900820448284	0.976553482771034	0.996970621912692	ENSG00000236107	antisense	chr2	165957399	166301784	chr2:165957399	SCN1A-AS1	lncRNA	chr2	165957188	166390771	chr2:165957188	ENSG00000236107
AC010136.2	AC010136.2	42.1186707637963	-0.0132680200345583	0.122209207239271	-0.108568088561291	0.913545072738243	0.988507588984211	ENSG00000223923	antisense	chr2	217978707	217992615	chr2:217978707	TNS1-AS1	lncRNA	chr2	217978707	217993747	chr2:217978707	ENSG00000223923
AC010226.4	AC010226.4	23.2541826293025	0.0194501748435628	0.122598958598443	0.15864877700364	0.873945596937057	0.981609430402119	ENSG00000249249	antisense	chr5	115602057	115620659	chr5:115602057	TICAM2-AS1	lncRNA	chr5	115602057	115623897	chr5:115602057	ENSG00000249249
AC012146.7	AC012146.7	82.4315173347655	0.064599511979035	0.124040123822889	0.520795287751194	0.602509386099023	0.928498719574014	ENSG00000234327	processed_transcript	chr17	5111468	5115004	chr17:5111468	ZNF232-AS1	lncRNA	chr17	5097223	5115004	chr17:5097223	ENSG00000234327
AC013461.1	AC013461.1	12725.7721012926	0.164260068056455	0.0639865517248659	2.56710298693314	0.0102552149225837	0.303587908159156	ENSG00000091436	protein_coding	chr2	173075435	173268010	chr2:173075435	MAP3K20	protein_coding	chr2	173075435	173268015	chr2:173075435	ENSG00000091436
AC016747.3	AC016747.3	849.722955352437	0.0492915879547498	0.0663650987517096	0.742733588616562	0.457642989914702	0.88387683419624	ENSG00000212978	processed_transcript	chr2	61141592	61144969	chr2:61141592	C2orf74-DT	lncRNA	chr2	61141592	61144969	chr2:61141592	ENSG00000212978
AC017074.2	AC017074.2	20.1822715700693	-0.0914420146865156	0.239661910670542	-0.381545880322296	0.702798233631366	0.957039513979895	ENSG00000227359	lincRNA	chr2	113677702	113704078	chr2:113677702	LINC02936	lncRNA	chr2	113677702	113704078	chr2:113677702	ENSG00000227359
AC019117.2	AC019117.2	8.31161505501586	0.510456452180509	0.422659334732271	1.20772549008968	0.227152869890793	0.769168342736412	ENSG00000236039	lincRNA	chr7	17434477	17460672	chr7:17434477	LINC02889	lncRNA	chr7	17405479	17558909	chr7:17405479	ENSG00000236039
