baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
CD276	3732.83110159625	-0.965466065026497	0.0404864253741455	-23.8466610994766	1.09672385034786e-125	6.44530897801307e-123	ENSG00000103855	CD276	protein_coding	chr15	73683966	73714518	chr15:73683966	CD276	protein_coding	chr15	73683966	73714514	chr15:73683966	ENSG00000103855
FAM65A	1570.50249542992	-1.34256762630218	0.0568108444954287	-23.6322420169306	1.79741428821479e-123	1.02430827588386e-120	ENSG00000039523	FAM65A	protein_coding	chr16	67518418	67546788	chr16:67518418	RIPOR1	protein_coding	chr16	67518418	67546788	chr16:67518418	ENSG00000039523
PDIA4	21371.7179194447	-0.665480018266125	0.0281899666599077	-23.6069813879058	3.26761725593182e-123	1.80737676808982e-120	ENSG00000155660	PDIA4	protein_coding	chr7	149003062	149028641	chr7:149003062	PDIA4	protein_coding	chr7	149003062	149028662	chr7:149003062	ENSG00000155660
LONRF1	1531.72516449444	-1.45006304827868	0.0617561602939767	-23.4804599472502	6.45991464285143e-122	3.47100442209897e-119	ENSG00000154359	LONRF1	protein_coding	chr8	12721894	12756073	chr8:12721894	LONRF1	protein_coding	chr8	12721906	12756073	chr8:12721906	ENSG00000154359
MTDH	15176.8187843905	-0.776053027688826	0.0333254991665967	-23.2870638729004	5.99553048592061e-120	3.13199850883953e-117	ENSG00000147649	MTDH	protein_coding	chr8	97644179	97728770	chr8:97644179	MTDH	protein_coding	chr8	97644184	97730260	chr8:97644184	ENSG00000147649
AKT1	7180.03188177361	-0.756645740112925	0.0325391751268473	-23.2533780331952	1.31488394798726e-119	6.68316419617525e-117	ENSG00000142208	AKT1	protein_coding	chr14	104769349	104795751	chr14:104769349	AKT1	protein_coding	chr14	104769349	104795751	chr14:104769349	ENSG00000142208
CCND1	21937.8425834095	0.584821481067107	0.0255479898789092	22.8910956924208	5.69905895684813e-116	2.820434282697e-113	ENSG00000110092	CCND1	protein_coding	chr11	69641087	69654474	chr11:69641087	CCND1	protein_coding	chr11	69641156	69654474	chr11:69641156	ENSG00000110092
CPNE3	6122.20045834148	-0.819382759989896	0.0360861963541303	-22.7062656299079	3.88486660631786e-114	1.87330259995932e-111	ENSG00000085719	CPNE3	protein_coding	chr8	86484830	86561498	chr8:86484830	CPNE3	protein_coding	chr8	86514435	86561498	chr8:86514435	ENSG00000085719
WHSC1	5130.99119476891	-0.955949209105245	0.0421449387994801	-22.6824201514094	6.68116781910776e-114	3.14115105015351e-111	ENSG00000109685	WHSC1	protein_coding	chr4	1871424	1982207	chr4:1871424	NSD2	protein_coding	chr4	1871393	1982207	chr4:1871393	ENSG00000109685
DIS3L	1358.82058186788	-1.40598441174365	0.0621945432737154	-22.6062342086183	3.76308306102501e-113	1.72606195233259e-110	ENSG00000166938	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	DIS3L	protein_coding	chr15	66293217	66333898	chr15:66293217	ENSG00000166938
EIF2AK4	3470.79336414234	-0.954747613978761	0.042453301637968	-22.4893607126397	5.27541100490892e-112	2.36212807995993e-109	ENSG00000128829	EIF2AK4	protein_coding	chr15	39934146	40035591	chr15:39934146	EIF2AK4	protein_coding	chr15	39934115	40035591	chr15:39934115	ENSG00000128829
ATF3	1452.02822709557	1.57144682527191	0.0702813177896997	22.3593819053606	9.78585565491248e-111	4.27983259177405e-108	ENSG00000162772	ATF3	protein_coding	chr1	212565334	212620777	chr1:212565334	ATF3	protein_coding	chr1	212565334	212620777	chr1:212565334	ENSG00000162772
EIF4H	18628.0518203071	-0.592358097655597	0.0265848329463134	-22.2818062784833	5.54750754512641e-110	2.3710551566738e-107	ENSG00000106682	EIF4H	protein_coding	chr7	74174245	74197101	chr7:74174245	EIF4H	protein_coding	chr7	74174231	74197122	chr7:74174231	ENSG00000106682
TXNIP	4130.20670683418	0.991081739703322	0.0446133109292138	22.214933594053	2.46345682589335e-109	1.02950597928334e-106	ENSG00000265972	TXNIP	protein_coding	chr1	145992435	145996600	chr1:145992435	TXNIP	protein_coding	chr1	145992435	145996579	chr1:145992435	ENSG00000265972
CELSR2	1070.87450416306	-1.46839514936353	0.0667671969374502	-21.9927631639108	3.37780961560138e-107	1.38093668763042e-104	ENSG00000143126	CELSR2	protein_coding	chr1	109250019	109275750	chr1:109250019	CELSR2	protein_coding	chr1	109249539	109275751	chr1:109249539	ENSG00000143126
SKP2	2066.72279024754	-1.18366222103421	0.0540585915449534	-21.8959130677668	2.84154786891858e-106	1.13698189835921e-103	ENSG00000145604	SKP2	protein_coding	chr5	36151989	36184319	chr5:36151989	SKP2	protein_coding	chr5	36151989	36196849	chr5:36151989	ENSG00000145604
MYH9	27410.4606724316	-0.647445154085322	0.0295710509170022	-21.8945601866678	2.92715837183004e-106	1.14683625709658e-103	ENSG00000100345	MYH9	protein_coding	chr22	36281281	36388018	chr22:36281281	MYH9	protein_coding	chr22	36281280	36388010	chr22:36281280	ENSG00000100345
TESK1	761.239058727341	-1.74785903991481	0.0803100080257839	-21.7639007003169	5.10185266461598e-105	1.95807022879119e-102	ENSG00000107140	TESK1	protein_coding	chr9	35605305	35610041	chr9:35605305	TESK1	protein_coding	chr9	35605262	35610041	chr9:35605262	ENSG00000107140
TUB	1907.89324436014	-1.21875849302083	0.0560299523840167	-21.7519102045231	6.62626036834305e-105	2.49226904974119e-102	ENSG00000166402	TUB	protein_coding	chr11	8019244	8106112	chr11:8019244	TUB	protein_coding	chr11	8019244	8106243	chr11:8019244	ENSG00000166402
ST3GAL1	22480.6342598898	0.609052209181488	0.0280399963460773	21.7208376800196	1.30379995947843e-104	4.80769843881399e-102	ENSG00000008513	ST3GAL1	protein_coding	chr8	133454848	133571940	chr8:133454848	ST3GAL1	protein_coding	chr8	133454848	133571940	chr8:133454848	ENSG00000008513
TXNRD1	21522.8639696248	0.580851529306138	0.0267798522531832	21.6898705718996	2.55705397548334e-104	9.24768405056532e-102	ENSG00000198431	TXNRD1	protein_coding	chr12	104215779	104350305	chr12:104215779	TXNRD1	protein_coding	chr12	104215779	104350307	chr12:104215779	ENSG00000198431
TMEM189	1232.82864855708	-1.49574633479255	0.0691265020598733	-21.6378131428815	7.91700158977215e-104	2.80919116787274e-101	ENSG00000240849	TMEM189	protein_coding	chr20	50118254	50153734	chr20:50118254	PEDS1	protein_coding	chr20	50118254	50153734	chr20:50118254	ENSG00000240849
CDC27	3691.61610722726	-1.07252147996449	0.0500311634189837	-21.4370685523082	6.02940381996188e-102	2.09979570811487e-99	ENSG00000004897	CDC27	protein_coding	chr17	47117703	47189422	chr17:47117703	CDC27	protein_coding	chr17	47117703	47189422	chr17:47117703	ENSG00000004897
TUBG1	4990.42401974264	-0.807471838909436	0.0380054531082318	-21.246210027017	3.57375183109556e-100	1.2219632170106e-97	ENSG00000131462	TUBG1	protein_coding	chr17	42609676	42615234	chr17:42609676	TUBG1	protein_coding	chr17	42609641	42615238	chr17:42609641	ENSG00000131462
FOXM1	6766.11903701401	-0.712032232460986	0.0337252292422228	-21.1127469986044	6.07378509365295e-99	2.03970718698638e-96	ENSG00000111206	FOXM1	protein_coding	chr12	2857681	2877155	chr12:2857681	FOXM1	protein_coding	chr12	2857680	2877174	chr12:2857680	ENSG00000111206
OGFRL1	2204.36314224782	-1.15396491523156	0.0548430670724578	-21.0412177296167	2.75218912670109e-98	8.92373598564493e-96	ENSG00000119900	OGFRL1	protein_coding	chr6	71288803	71308950	chr6:71288803	OGFRL1	protein_coding	chr6	71288811	71309059	chr6:71288811	ENSG00000119900
SAPCD2	5642.84047771441	-0.747726327869097	0.0355349842034099	-21.0419772129052	2.70845934620223e-98	8.92373598564493e-96	ENSG00000186193	SAPCD2	protein_coding	chr9	137062124	137070588	chr9:137062124	SAPCD2	protein_coding	chr9	137062127	137070557	chr9:137062127	ENSG00000186193
KIF20A	3868.70334686824	-0.818212768743345	0.0389606000385727	-21.00103098857	6.41776738444798e-98	2.0456361598632e-95	ENSG00000112984	KIF20A	protein_coding	chr5	138178719	138187715	chr5:138178719	KIF20A	protein_coding	chr5	138178719	138187723	chr5:138178719	ENSG00000112984
GDF15	5987.90396950748	2.0808066659104	0.0993336786020043	20.9476453021283	1.97140894847906e-97	6.17905278084953e-95	ENSG00000130513	GDF15	protein_coding	chr19	18374731	18389176	chr19:18374731	GDF15	protein_coding	chr19	18374731	18389176	chr19:18374731	ENSG00000130513
DGKE	1483.15272713659	-1.23639556932071	0.0595469561103935	-20.7633714648414	9.28206070484944e-96	2.86161366582621e-93	ENSG00000153933	DGKE	protein_coding	chr17	56834099	56869567	chr17:56834099	DGKE	protein_coding	chr17	56834107	56869567	chr17:56834107	ENSG00000153933
FZD6	1778.63745736192	-1.096870436242	0.0529397911087259	-20.7192059747513	2.32487723418592e-95	7.05187762356459e-93	ENSG00000164930	FZD6	protein_coding	chr8	103298433	103332866	chr8:103298433	FZD6	protein_coding	chr8	103298433	103332866	chr8:103298433	ENSG00000164930
CEP78	2179.0816052272	-1.06106496358829	0.0512908025881365	-20.6872365033671	4.51351094343099e-95	1.34731883812957e-92	ENSG00000148019	CEP78	protein_coding	chr9	78236062	78279690	chr9:78236062	CEP78	protein_coding	chr9	78236062	78279690	chr9:78236062	ENSG00000148019
FDFT1	15050.9981601294	0.570172238573186	0.027609948925167	20.6509704207914	9.56785677162774e-95	2.81145491323799e-92	ENSG00000079459	FDFT1	protein_coding	chr8	11795573	11839309	chr8:11795573	FDFT1	protein_coding	chr8	11795573	11839304	chr8:11795573	ENSG00000079459
MOB1A	1910.45006858854	-1.17201669239509	0.0568393878326843	-20.6197979444309	1.82318282640068e-94	5.27488865127556e-92	ENSG00000114978	MOB1A	protein_coding	chr2	74152528	74178898	chr2:74152528	MOB1A	protein_coding	chr2	74152528	74178898	chr2:74152528	ENSG00000114978
CTDSPL2	2094.5313435831	-1.12608661048465	0.0549143560629155	-20.5062335465519	1.89405897712764e-93	5.39692017028219e-91	ENSG00000137770	CTDSPL2	protein_coding	chr15	44427234	44529038	chr15:44427234	CTDSPL2	protein_coding	chr15	44427622	44529038	chr15:44427622	ENSG00000137770
CAPN15	2984.2299055217	-0.906870130249791	0.0445175121480725	-20.3710873876643	3.01899656845609e-92	8.47391783080376e-90	ENSG00000103326	CAPN15	protein_coding	chr16	527717	554636	chr16:527717	CAPN15	protein_coding	chr16	527712	554636	chr16:527712	ENSG00000103326
EIF2AK2	1645.42334277024	-1.46205067955668	0.0723638974325192	-20.2041450423544	9.00149766069384e-91	2.48944360304424e-88	ENSG00000055332	EIF2AK2	protein_coding	chr2	37099210	37157065	chr2:37099210	EIF2AK2	protein_coding	chr2	37099210	37157522	chr2:37099210	ENSG00000055332
RDH11	7654.27131282468	0.632282346733642	0.0313528808952973	20.16664270327	1.92255349637815e-90	5.23993348592574e-88	ENSG00000072042	RDH11	protein_coding	chr14	67676801	67695814	chr14:67676801	RDH11	protein_coding	chr14	67676800	67695793	chr14:67676800	ENSG00000072042
CKAP5	9749.54547924164	-0.649857765277766	0.032279165658418	-20.1324213938687	3.83775562003841e-90	1.03104045986346e-87	ENSG00000175216	CKAP5	protein_coding	chr11	46743048	46846308	chr11:46743048	CKAP5	protein_coding	chr11	46743048	46846308	chr11:46743048	ENSG00000175216
ARG2	1779.92535157694	1.07361135825162	0.0533451540029564	20.1257523446669	4.39057101760697e-90	1.16294476841009e-87	ENSG00000081181	ARG2	protein_coding	chr14	67619798	67651720	chr14:67619798	ARG2	protein_coding	chr14	67619920	67651708	chr14:67619920	ENSG00000081181
KDM3B	3774.20402519067	-0.82137201202039	0.0409613334010104	-20.0523748575072	1.92436094458088e-89	5.02632387830389e-87	ENSG00000120733	KDM3B	protein_coding	chr5	138352596	138437028	chr5:138352596	KDM3B	protein_coding	chr5	138352685	138437028	chr5:138352685	ENSG00000120733
PCGF5	881.804734256464	-1.45871090901634	0.0728965213310059	-20.0107067166165	4.44304914824605e-89	1.14460249701254e-86	ENSG00000180628	PCGF5	protein_coding	chr10	91163012	91284331	chr10:91163012	PCGF5	protein_coding	chr10	91163012	91284337	chr10:91163012	ENSG00000180628
SLC30A1	4043.1813955311	0.756580319009976	0.038144561601282	19.8345527448544	1.49843167609272e-87	3.8080413649459e-85	ENSG00000170385	SLC30A1	protein_coding	chr1	211571568	211578742	chr1:211571568	SLC30A1	protein_coding	chr1	211571568	211579161	chr1:211571568	ENSG00000170385
LRP5	3362.56775488061	-0.819289513294521	0.0413354318992966	-19.8205141605999	1.9807468857457e-87	4.96665679111115e-85	ENSG00000162337	LRP5	protein_coding	chr11	68312609	68449275	chr11:68312609	LRP5	protein_coding	chr11	68312591	68449275	chr11:68312591	ENSG00000162337
RAPGEF1	1391.32471481881	-1.19808964265278	0.0605049718646208	-19.801507309738	2.88918222719416e-87	7.14920539008072e-85	ENSG00000107263	RAPGEF1	protein_coding	chr9	131576770	131740074	chr9:131576770	RAPGEF1	protein_coding	chr9	131576770	131740076	chr9:131576770	ENSG00000107263
ADCK2	1358.42525733399	-1.20491238852683	0.0610007084760348	-19.7524326951087	7.6445238218595e-87	1.86705084407649e-84	ENSG00000133597	ADCK2	protein_coding	chr7	140673153	140696261	chr7:140673153	ADCK2	protein_coding	chr7	140672945	140696261	chr7:140672945	ENSG00000133597
SSH1	1320.30790751349	-1.24594081211417	0.0630846190622705	-19.7503104660791	7.97262173080278e-87	1.92221954191637e-84	ENSG00000084112	SSH1	protein_coding	chr12	108778192	108857590	chr12:108778192	SSH1	protein_coding	chr12	108778191	108857590	chr12:108778191	ENSG00000084112
DDR1	4752.46841847766	-0.768145358639052	0.0389323328370681	-19.7302679460217	1.18540395054447e-86	2.82186160682775e-84	ENSG00000204580	DDR1	protein_coding	chr6	30876421	30900156	chr6:30876421	DDR1	protein_coding	chr6	30876421	30900156	chr6:30876421	ENSG00000204580
GTSE1	1977.66942020281	-1.03424609783225	0.0525111103932755	-19.6957575280048	2.34463481071528e-86	5.51165028128893e-84	ENSG00000075218	GTSE1	protein_coding	chr22	46296741	46330810	chr22:46296741	GTSE1	protein_coding	chr22	46296870	46330810	chr22:46296870	ENSG00000075218
HMGCS1	5948.86569576186	0.656627847793985	0.0335100017745518	19.5949809913959	1.70649300703637e-85	3.9620132704106e-83	ENSG00000112972	HMGCS1	protein_coding	chr5	43289395	43313512	chr5:43289395	HMGCS1	protein_coding	chr5	43287470	43313512	chr5:43287470	ENSG00000112972
GBAS	2217.32165510465	-0.955585392669949	0.0488716501305386	-19.5529594379877	3.89270688159673e-85	8.92759092869611e-83	ENSG00000146729	GBAS	protein_coding	chr7	55951793	56000181	chr7:55951793	NIPSNAP2	protein_coding	chr7	55951793	56000181	chr7:55951793	ENSG00000146729
TOP2B	7039.34822932973	-0.730864636866266	0.0376361845636911	-19.4192011049748	5.31096702304001e-84	1.20334994982278e-81	ENSG00000077097	TOP2B	protein_coding	chr3	25597905	25664907	chr3:25597905	TOP2B	protein_coding	chr3	25597978	25664909	chr3:25597978	ENSG00000077097
FAM83D	4123.04263224749	-0.732322527743015	0.0378656495140786	-19.3400228740493	2.473654003076e-83	5.53804014069609e-81	ENSG00000101447	FAM83D	protein_coding	chr20	38926312	38953106	chr20:38926312	FAM83D	protein_coding	chr20	38926312	38953106	chr20:38926312	ENSG00000101447
CIZ1	2193.5677491882	-0.939779517508553	0.0487174815028022	-19.2903961477257	6.46758478400307e-83	1.43093411115249e-80	ENSG00000148337	CIZ1	protein_coding	chr9	128166064	128204383	chr9:128166064	CIZ1	protein_coding	chr9	128161251	128204383	chr9:128161251	ENSG00000148337
FTL	6638.90034709229	0.851505128458047	0.0443896650461813	19.182508531483	5.18189718285759e-82	1.13314835373046e-79	ENSG00000087086	FTL	protein_coding	chr19	48965301	48966878	chr19:48965301	FTL	protein_coding	chr19	48965309	48966879	chr19:48965309	ENSG00000087086
TUBA1B	40811.1825172708	-0.595063662609624	0.0310615277235538	-19.1575787226457	8.36762621042047e-82	1.80875377601342e-79	ENSG00000123416	TUBA1B	protein_coding	chr12	49127782	49131397	chr12:49127782	TUBA1B	protein_coding	chr12	49127782	49131397	chr12:49127782	ENSG00000123416
LMNB1	8649.09891637973	-0.711222070815756	0.0371453218206223	-19.1470159889933	1.02494023743604e-81	2.19034387559342e-79	ENSG00000113368	LMNB1	protein_coding	chr5	126776623	126837020	chr5:126776623	LMNB1	protein_coding	chr5	126776623	126837020	chr5:126776623	ENSG00000113368
TACC3	4525.95983243497	-0.731150860567657	0.0383122762515571	-19.083983832413	3.43083997941459e-81	7.24948052279446e-79	ENSG00000013810	TACC3	protein_coding	chr4	1721490	1745176	chr4:1721490	TACC3	protein_coding	chr4	1712858	1745171	chr4:1712858	ENSG00000013810
SEPN1	1627.96607192732	-1.05974791397125	0.0556066350339157	-19.0579399980755	5.64541841074936e-81	1.17964154036169e-78	ENSG00000162430	SEPN1	protein_coding	chr1	25800176	25818224	chr1:25800176	SELENON	protein_coding	chr1	25800193	25818221	chr1:25800193	ENSG00000162430
CUL1	3534.86325138836	-0.839058204249634	0.0441142048338354	-19.0201366523574	1.16180326160534e-80	2.37487740627717e-78	ENSG00000055130	CUL1	protein_coding	chr7	148697914	148801036	chr7:148697914	CUL1	protein_coding	chr7	148697914	148801110	chr7:148697914	ENSG00000055130
NAE1	2630.68629822381	-1.03187188795619	0.0542833468308769	-19.0089953585775	1.436777756743e-80	2.90538091325901e-78	ENSG00000159593	NAE1	protein_coding	chr16	66802875	66873256	chr16:66802875	NAE1	protein_coding	chr16	66802875	66873256	chr16:66802875	ENSG00000159593
FBXW4	806.403032381903	-1.52317312481947	0.0803194059374197	-18.9639490860557	3.38729714808589e-80	6.77675640073438e-78	ENSG00000107829	FBXW4	protein_coding	chr10	101610664	101695295	chr10:101610664	FBXW4	protein_coding	chr10	101610664	101695295	chr10:101610664	ENSG00000107829
TUBB4B	15348.3345841579	-0.520968276681712	0.0274778268115604	-18.9595880436415	3.68015219374721e-80	7.28515180585369e-78	ENSG00000188229	TUBB4B	protein_coding	chr9	137241213	137243707	chr9:137241213	TUBB4B	protein_coding	chr9	137241287	137243707	chr9:137241287	ENSG00000188229
ZYG11B	1761.11708685704	-1.0375919640279	0.0554344377435151	-18.7174616765961	3.56751391308263e-78	6.98861110931582e-76	ENSG00000162378	ZYG11B	protein_coding	chr1	52726467	52827342	chr1:52726467	ZYG11B	protein_coding	chr1	52726453	52827336	chr1:52726453	ENSG00000162378
AK3	1713.42473364223	-1.04797543382902	0.0560435556770566	-18.6993030896868	5.01559421269911e-78	9.72404791381644e-76	ENSG00000147853	AK3	protein_coding	chr9	4709559	4742043	chr9:4709559	AK3	protein_coding	chr9	4709556	4742043	chr9:4709556	ENSG00000147853
