Row.names	SRR5931679	SRR5931680	SRR5931681	median_TPM	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
AAR2	17.948553	18.951023	19.78318	18.951023	ENSG00000131043	protein_coding	chr20	36236459	36270918	chr20:36236459	AAR2	protein_coding	chr20	36236131	36270918	chr20:36236131	ENSG00000131043
AARS	80.0451	84.5536	86.4561	84.5536	ENSG00000090861	protein_coding	chr16	70252295	70289543	chr16:70252295	AARS1	protein_coding	chr16	70251983	70289707	chr16:70251983	ENSG00000090861
AARS2	10.947	11.6867	11.7843	11.6867	ENSG00000124608	protein_coding	chr6	44299654	44313326	chr6:44299654	AARS2	protein_coding	chr6	44298731	44313347	chr6:44298731	ENSG00000124608
AARSD1	46.133	47.0834	49.8126	47.0834	ENSG00000266967	protein_coding	chr17	42950526	42964498	chr17:42950526	AARSD1	protein_coding	chr17	42950526	42964498	chr17:42950526	ENSG00000266967
AASDH	5.769116	6.242567	6.568292	6.242567	ENSG00000157426	protein_coding	chr4	56338287	56387508	chr4:56338287	AASDH	protein_coding	chr4	56338287	56387508	chr4:56338287	ENSG00000157426
AASDHPPT	40.4876	44.7127	43.8147	43.8147	ENSG00000149313	protein_coding	chr11	106075501	106098710	chr11:106075501	AASDHPPT	protein_coding	chr11	106075501	106098699	chr11:106075501	ENSG00000149313
AASS	3.96773	4.50992	4.79818	4.50992	ENSG00000008311	protein_coding	chr7	122075647	122144280	chr7:122075647	AASS	protein_coding	chr7	122064583	122144308	chr7:122064583	ENSG00000008311
AATF	45.0155	47.3048	49.1186	47.3048	ENSG00000275700	protein_coding	chr17	36948875	37056871	chr17:36948875	AATF	protein_coding	chr17	36948925	37056871	chr17:36948925	ENSG00000275700
ABALON	1.59356	1.46894	1.10902	1.46894	ENSG00000281376	antisense	chr20	31721507	31723409	chr20:31721507	ABALON	lncRNA	chr20	31721507	31723409	chr20:31721507	ENSG00000281376
ABAT	7.724316	8.785613	8.5748197	8.5748197	ENSG00000183044	protein_coding	chr16	8674565	8784575	chr16:8674565	ABAT	protein_coding	chr16	8674596	8784575	chr16:8674596	ENSG00000183044
ABCA2	20.429582	21.187698628	21.33880377497	21.187698628	ENSG00000107331	protein_coding	chr9	137007227	137028922	chr9:137007227	ABCA2	protein_coding	chr9	137007234	137028915	chr9:137007234	ENSG00000107331
ABCA3	13.30729	13.826638	14.301994	13.826638	ENSG00000167972	protein_coding	chr16	2275881	2340746	chr16:2275881	ABCA3	protein_coding	chr16	2275881	2340746	chr16:2275881	ENSG00000167972
ABCA5	2.273019	2.600277	2.534418	2.534418	ENSG00000154265	protein_coding	chr17	69244311	69327244	chr17:69244311	ABCA5	protein_coding	chr17	69244311	69327244	chr17:69244311	ENSG00000154265
ABCA7	4.30439	4.6908100122744	4.535046582	4.535046582	ENSG00000064687	protein_coding	chr19	1040101	1065572	chr19:1040101	ABCA7	protein_coding	chr19	1039997	1065572	chr19:1039997	ENSG00000064687
ABCA9	1.187658	1.3726155	1.758854	1.3726155	ENSG00000154258	protein_coding	chr17	68974488	69061064	chr17:68974488	ABCA9	protein_coding	chr17	68974488	69060949	chr17:68974488	ENSG00000154258
ABCB10	10.1334	11.6074	11.3456	11.3456	ENSG00000135776	protein_coding	chr1	229516582	229558695	chr1:229516582	ABCB10	protein_coding	chr1	229516582	229558707	chr1:229516582	ENSG00000135776
ABCB6	44.7479	44.6146	46.5945	44.7479	ENSG00000115657	protein_coding	chr2	219209768	219218990	chr2:219209768	ABCB6	protein_coding	chr2	219209772	219218994	chr2:219209772	ENSG00000115657
ABCB7	22.5878	23.36844	25.05288	23.36844	ENSG00000131269	protein_coding	chrX	75053172	75156732	chrX:75053172	ABCB7	protein_coding	chrX	75051048	75156732	chrX:75051048	ENSG00000131269
ABCB8	17.462243	16.782906	17.511352	17.462243	ENSG00000197150	protein_coding	chr7	151028422	151047782	chr7:151028422	ABCB8	protein_coding	chr7	151028422	151047782	chr7:151028422	ENSG00000197150
ABCB9	2.999561	3.03860500004007	3.045149	3.03860500004007	ENSG00000150967	protein_coding	chr12	122920951	122981649	chr12:122920951	ABCB9	protein_coding	chr12	122920951	122981649	chr12:122920951	ENSG00000150967
ABCC1	34.76713	36.88973	38.0551	36.88973	ENSG00000103222	protein_coding	chr16	15949577	16143074	chr16:15949577	ABCC1	protein_coding	chr16	15949138	16143257	chr16:15949138	ENSG00000103222
ABCC10	3.297139	3.4326	3.44149	3.4326	ENSG00000124574	protein_coding	chr6	43427366	43450430	chr6:43427366	ABCC10	protein_coding	chr6	43427366	43450427	chr6:43427366	ENSG00000124574
ABCC4	97.71953	109.85538	110.81652	109.85538	ENSG00000125257	protein_coding	chr13	95019829	95301446	chr13:95019829	ABCC4	protein_coding	chr13	95019835	95301475	chr13:95019835	ENSG00000125257
ABCC5	14.159022	14.2185453	14.37599	14.2185453	ENSG00000114770	protein_coding	chr3	183919934	184018015	chr3:183919934	ABCC5	protein_coding	chr3	183919934	184017939	chr3:183919934	ENSG00000114770
ABCC6	5.625132	5.5280013	5.49201	5.5280013	ENSG00000091262	protein_coding	chr16	16148928	16223522	chr16:16148928	ABCC6	protein_coding	chr16	16149565	16223522	chr16:16149565	ENSG00000091262
ABCC9	1.96716	2.2288	1.75397	1.96716	ENSG00000069431	protein_coding	chr12	21797401	21941402	chr12:21797401	ABCC9	protein_coding	chr12	21797389	21942543	chr12:21797389	ENSG00000069431
ABCD1	27.71405	29.00022	31.18031	29.00022	ENSG00000101986	protein_coding	chrX	153724868	153744762	chrX:153724868	ABCD1	protein_coding	chrX	153724856	153744755	chrX:153724856	ENSG00000101986
ABCD3	41.28767	46.18329	47.66211	46.18329	ENSG00000117528	protein_coding	chr1	94418455	94518666	chr1:94418455	ABCD3	protein_coding	chr1	94418389	94518666	chr1:94418389	ENSG00000117528
ABCD4	8.21299	8.64783	9.23884	8.64783	ENSG00000119688	protein_coding	chr14	74285423	74303056	chr14:74285423	ABCD4	protein_coding	chr14	74285269	74303055	chr14:74285269	ENSG00000119688
ABCE1	91.1966	99.6398	102.371	99.6398	ENSG00000164163	protein_coding	chr4	145097932	145129179	chr4:145097932	ABCE1	protein_coding	chr4	145098288	145129524	chr4:145098288	ENSG00000164163
ABCF1	43.6319	45.986	49.015423	45.986	ENSG00000204574	protein_coding	chr6	30571376	30597179	chr6:30571376	ABCF1	protein_coding	chr6	30571393	30597179	chr6:30571393	ENSG00000204574
ABCF2	57.2447	60.0419	62.4863	60.0419	ENSG00000033050	protein_coding	chr7	151207837	151227230	chr7:151207837	ABCF2	protein_coding	chr7	151211484	151227205	chr7:151211484	ENSG00000033050
ABCF3	43.83254	45.681468	45.2746	45.2746	ENSG00000161204	protein_coding	chr3	184186023	184194012	chr3:184186023	ABCF3	protein_coding	chr3	184186095	184194012	chr3:184186095	ENSG00000161204
ABCG1	1.699607	1.8969423	1.797846528	1.797846528	ENSG00000160179	protein_coding	chr21	42199689	42297244	chr21:42199689	ABCG1	protein_coding	chr21	42199689	42297244	chr21:42199689	ENSG00000160179
ABHD1	0.761355	1.670663	1.390885	1.390885	ENSG00000143994	protein_coding	chr2	27123789	27130812	chr2:27123789	ABHD1	protein_coding	chr2	27123789	27130812	chr2:27123789	ENSG00000143994
ABHD10	44.91141	50.38263	52.30706	50.38263	ENSG00000144827	protein_coding	chr3	111979010	111993363	chr3:111979010	ABHD10	protein_coding	chr3	111979010	111993368	chr3:111979010	ENSG00000144827
ABHD11	36.096533	35.940529	37.003753	36.096533	ENSG00000106077	protein_coding	chr7	73736094	73738867	chr7:73736094	ABHD11	protein_coding	chr7	73736094	73738852	chr7:73736094	ENSG00000106077
ABHD12	37.9058	37.3398	40.1351	37.9058	ENSG00000100997	protein_coding	chr20	25294743	25390983	chr20:25294743	ABHD12	protein_coding	chr20	25294742	25390835	chr20:25294742	ENSG00000100997
ABHD13	6.75869	8.17933	8.15698	8.15698	ENSG00000139826	protein_coding	chr13	108218379	108234255	chr13:108218379	ABHD13	protein_coding	chr13	108218392	108234243	chr13:108218392	ENSG00000139826
ABHD14A	6.598667	8.176943	7.12269	7.12269	ENSG00000248487	protein_coding	chr3	51971426	51981199	chr3:51971426	ABHD14A	protein_coding	chr3	51971426	51981196	chr3:51971426	ENSG00000248487
ABHD14A-ACY1	1.20283	1.25879	2.14187	1.25879	ENSG00000114786	protein_coding	chr3	51975050	51989183	chr3:51975050	ABHD14A-ACY1	protein_coding	chr3	51974706	51989183	chr3:51974706	ENSG00000114786
ABHD14B	20.086173	20.427655	20.393013	20.393013	ENSG00000114779	protein_coding	chr3	51968510	51983409	chr3:51968510	ABHD14B	protein_coding	chr3	51968510	51983409	chr3:51968510	ENSG00000114779
ABHD15	2.44185	2.39904	2.34916	2.39904	ENSG00000168792	protein_coding	chr17	29560547	29567137	chr17:29560547	ABHD15	protein_coding	chr17	29560547	29567037	chr17:29560547	ENSG00000168792
ABHD16A	13.0140219	13.118034	13.452794	13.118034	ENSG00000204427	protein_coding	chr6	31686949	31703444	chr6:31686949	ABHD16A	protein_coding	chr6	31686955	31703356	chr6:31686955	ENSG00000204427
ABHD17A	37.40905	38.0853601	40.000729	38.0853601	ENSG00000129968	protein_coding	chr19	1876810	1885547	chr19:1876810	ABHD17A	protein_coding	chr19	1876810	1885496	chr19:1876810	ENSG00000129968
ABHD17B	11.30351	11.94104	13.3011	11.94104	ENSG00000107362	protein_coding	chr9	71862452	71910931	chr9:71862452	ABHD17B	protein_coding	chr9	71862452	71911193	chr9:71862452	ENSG00000107362
ABHD17C	15.769038	16.800301	16.905597	16.800301	ENSG00000136379	protein_coding	chr15	80679684	80755621	chr15:80679684	ABHD17C	protein_coding	chr15	80679684	80755621	chr15:80679684	ENSG00000136379
ABHD18	5.711079	6.61676	6.836464	6.61676	ENSG00000164074	protein_coding	chr4	127965306	128039711	chr4:127965306	ABHD18	protein_coding	chr4	127965306	128039953	chr4:127965306	ENSG00000164074
ABHD2	198.53883	224.94049	225.82462	224.94049	ENSG00000140526	protein_coding	chr15	89087459	89202360	chr15:89087459	ABHD2	protein_coding	chr15	89087459	89202355	chr15:89087459	ENSG00000140526
ABHD3	21.4562	24.257139	24.03	24.03	ENSG00000158201	protein_coding	chr18	21650897	21704805	chr18:21650897	ABHD3	protein_coding	chr18	21650901	21704780	chr18:21650901	ENSG00000158201
ABHD4	12.577144	13.045269	14.360857	13.045269	ENSG00000100439	protein_coding	chr14	22598237	22613215	chr14:22598237	ABHD4	protein_coding	chr14	22598290	22612963	chr14:22598290	ENSG00000100439
ABHD5	21.3004	21.9877	23.3691	21.9877	ENSG00000011198	protein_coding	chr3	43690113	43734371	chr3:43690113	ABHD5	protein_coding	chr3	43690108	43734371	chr3:43690108	ENSG00000011198
ABHD6	10.4616	11.64783	12.4754	11.64783	ENSG00000163686	protein_coding	chr3	58237506	58295693	chr3:58237506	ABHD6	protein_coding	chr3	58237532	58295693	chr3:58237532	ENSG00000163686
ABHD8	13.5941	14.1151	14.413	14.1151	ENSG00000127220	protein_coding	chr19	17292131	17310236	chr19:17292131	ABHD8	protein_coding	chr19	17292131	17310236	chr19:17292131	ENSG00000127220
ABI1	19.413186681	21.2815604	21.989478	21.2815604	ENSG00000136754	protein_coding	chr10	26746593	26861087	chr10:26746593	ABI1	protein_coding	chr10	26746593	26861087	chr10:26746593	ENSG00000136754
ABI2	4.296207	4.5339925	4.348989	4.348989	ENSG00000138443	protein_coding	chr2	203328219	203447723	chr2:203328219	ABI2	protein_coding	chr2	203328280	203447728	chr2:203328280	ENSG00000138443
ABL1	15.21248	15.92557	17.03881	15.92557	ENSG00000097007	protein_coding	chr9	130713946	130887675	chr9:130713946	ABL1	protein_coding	chr9	130713016	130887675	chr9:130713016	ENSG00000097007
ABL2	5.394364	5.8606922	5.930217	5.8606922	ENSG00000143322	protein_coding	chr1	179099327	179229684	chr1:179099327	ABL2	protein_coding	chr1	179099330	179229684	chr1:179099330	ENSG00000143322
ABLIM1	13.2841339	14.6512093	14.7857635	14.6512093	ENSG00000099204	protein_coding	chr10	114431113	114685003	chr10:114431113	ABLIM1	protein_coding	chr10	114431112	114768061	chr10:114431112	ENSG00000099204
ABR	10.157959	10.2436791	9.9522951	10.157959	ENSG00000159842	protein_coding	chr17	1003518	1229021	chr17:1003518	ABR	protein_coding	chr17	1003519	1229738	chr17:1003519	ENSG00000159842
ABRACL	40.681255	46.21389	44.665666	44.665666	ENSG00000146386	protein_coding	chr6	139028682	139043302	chr6:139028682	ABRACL	protein_coding	chr6	139028745	139043302	chr6:139028745	ENSG00000146386
ABT1	8.94442	8.74245	8.90953	8.90953	ENSG00000146109	protein_coding	chr6	26596952	26600744	chr6:26596952	ABT1	protein_coding	chr6	26596953	26600739	chr6:26596953	ENSG00000146109
ABTB2	2.88015	3.18434	3.36243	3.18434	ENSG00000166016	protein_coding	chr11	34150988	34358008	chr11:34150988	ABTB2	protein_coding	chr11	34150987	34358010	chr11:34150987	ENSG00000166016
AC000068.5	4.38054	4.84141	4.57346	4.57346	ENSG00000185065	antisense	chr22	19447893	19450105	chr22:19447893	UFD1-AS1	lncRNA	chr22	19447893	19450105	chr22:19447893	ENSG00000185065
AC002117.1	1.88491	4.42962	2.63874	2.63874	ENSG00000224505	antisense	chr17	45150400	45161510	chr17:45150400	HEXIM2-AS1	lncRNA	chr17	45150400	45161538	chr17:45150400	ENSG00000224505
AC002310.12	8.41397	8.79536	10.0962	8.79536	ENSG00000235560	antisense	chr16	30534752	30537144	chr16:30534752	ZNF747-DT	lncRNA	chr16	30534752	30537149	chr16:30534752	ENSG00000235560
AC002467.7	5.56814	3.80446	4.41312	4.41312	ENSG00000241764	antisense	chr7	107742817	107744581	chr7:107742817	CBLL1-AS1	lncRNA	chr7	107739999	107744581	chr7:107739999	ENSG00000241764
AC003664.1	1.50498	1.37042	1.48048	1.48048	ENSG00000234634	lincRNA	chr17	13299184	13306760	chr17:13299184	LINC02093	lncRNA	chr17	13299184	13306771	chr17:13299184	ENSG00000234634
AC003956.1	7.42889	5.57291	6.17274	6.17274	ENSG00000268564	antisense	chr19	15124160	15126174	chr19:15124160	ILVBL-AS1	lncRNA	chr19	15124160	15126174	chr19:15124160	ENSG00000268564
AC004381.6	21.85476	23.63925	23.73983	23.63925	ENSG00000005189	protein_coding	chr16	20806429	20849668	chr16:20806429	REXO5	protein_coding	chr16	20806429	20849665	chr16:20806429	ENSG00000005189
AC004540.5	2.1681555	1.6806545	1.3454213	1.6806545	ENSG00000214870	lincRNA	chr7	26398593	26494256	chr7:26398593	LINC02981	lncRNA	chr7	26398593	26497595	chr7:26398593	ENSG00000214870
AC004854.4	1.71583	3.11274	4.03622	3.11274	ENSG00000234183	antisense	chr7	44848416	44849568	chr7:44848416	H2AZ2-DT	lncRNA	chr7	44848416	44849568	chr7:44848416	ENSG00000234183
AC005076.5	3.59918	3.41916	3.4325	3.4325	ENSG00000224046	antisense	chr7	87151423	87152420	chr7:87151423	DMTF1-AS1	lncRNA	chr7	87151419	87152420	chr7:87151419	ENSG00000224046
AC005154.6	25.123688	26.5066438	27.323471	26.5066438	ENSG00000196295	processed_transcript	chr7	30516309	30594809	chr7:30516309	GARS1-DT	lncRNA	chr7	30516309	30595286	chr7:30516309	ENSG00000196295
AC005534.8	1.25935	1.20107	1.19952	1.20107	ENSG00000224903	antisense	chr7	156654185	156657693	chr7:156654185	RNF32-AS1	lncRNA	chr7	156654185	156659582	chr7:156654185	ENSG00000224903
AC005682.5	1.090671	1.484976	2.0003	1.484976	ENSG00000228649	processed_transcript	chr7	22854178	22861579	chr7:22854178	SNHG26	lncRNA	chr7	22854126	22872952	chr7:22854126	ENSG00000228649
AC005775.2	1.3552	1.48474	1.68681	1.48474	ENSG00000266933	antisense	chr19	490046	507833	chr19:490046	MADCAM1-AS1	lncRNA	chr19	490046	507833	chr19:490046	ENSG00000266933
AC006116.20	1.6189772	1.5600493	1.698483	1.6189772	ENSG00000267710	processed_transcript	chr19	56272769	56310450	chr19:56272769	EDDM13	protein_coding	chr19	56272748	56310454	chr19:56272748	ENSG00000267710
AC006145.4	3.77552	4.22387	4.53871	4.22387	ENSG00000223770	antisense	chr7	82009177	82029955	chr7:82009177	CACNA2D1-AS1	lncRNA	chr7	82009177	82029955	chr7:82009177	ENSG00000223770
AC006153.3	4.32009	1.54195	2.60988	2.60988	ENSG00000251154	unprocessed_pseudogene	chr7	90469787	90488964	chr7:90469787	PTTG1IP2	protein_coding	chr7	90469639	90513397	chr7:90469639	ENSG00000251154
AC006262.5	1.271531	1.068302	1.772981	1.271531	ENSG00000268621	lincRNA	chr19	46189166	46203083	chr19:46189166	IGFL2-AS1	lncRNA	chr19	46189029	46203160	chr19:46189029	ENSG00000268621
AC007009.1	11.8986	11.7048	13.3541	11.8986	ENSG00000244239	antisense	chr7	8262233	8262821	chr7:8262233	ICA1-AS1	lncRNA	chr7	8262233	8262821	chr7:8262233	ENSG00000244239
AC007038.7	2.27166	3.22686	3.3378	3.22686	ENSG00000229127	antisense	chr2	210030733	210064356	chr2:210030733	KANSL1L-AS1	lncRNA	chr2	210030572	210064356	chr2:210030572	ENSG00000229127
AC007246.3	0.96616	1.066466	1.457175	1.066466	ENSG00000231312	antisense	chr2	39436637	39665343	chr2:39436637	MAP4K3-DT	lncRNA	chr2	39436530	39665343	chr2:39436530	ENSG00000231312
AC007317.1	2.37314	0.988361	1.17549	1.17549	ENSG00000233128	lincRNA	chr2	40746487	40767452	chr2:40746487	LINC01794	lncRNA	chr2	40746481	40767452	chr2:40746481	ENSG00000233128
AC007383.3	2.481517	3.38713	2.74031	2.74031	ENSG00000227946	lincRNA	chr2	206084605	206086564	chr2:206084605	INO80D-AS1	lncRNA	chr2	206084605	206086863	chr2:206084605	ENSG00000227946
AC007773.2	1.99012	1.92688	1.85809	1.92688	ENSG00000267213	antisense	chr19	32390050	32405560	chr19:32390050	DPY19L3-DT	lncRNA	chr19	32390050	32405560	chr19:32390050	ENSG00000267213
AC008063.2	19.7828	19.2995	19.1704	19.2995	ENSG00000230918	antisense	chr2	162073256	162075169	chr2:162073256	DPP4-DT	lncRNA	chr2	162073256	162078036	chr2:162073256	ENSG00000230918
AC008132.15	8.17417	7.63024	7.50426	7.63024	ENSG00000182824	lincRNA	chr22	18733914	18757906	chr22:18733914	FAM230E	lncRNA	chr22	18733914	18757906	chr22:18733914	ENSG00000182824
AC008753.6	1.46185	1.41285	0.765066	1.41285	ENSG00000228323	antisense	chr19	53854581	53869107	chr19:53854581	MYADM-AS1	lncRNA	chr19	53854581	53869107	chr19:53854581	ENSG00000228323
AC009005.2	9.57102	12.5248	11.1308	11.1308	ENSG00000267751	antisense	chr19	567210	572228	chr19:567210	BSG-AS1	lncRNA	chr19	562360	572228	chr19:562360	ENSG00000267751
AC009133.12	13.0285	13.00425	13.626	13.0285	ENSG00000238045	antisense	chr16	29808636	29821252	chr16:29808636	MVP-DT	lncRNA	chr16	29808636	29821252	chr16:29808636	ENSG00000238045
AC009403.2	12.78639	12.72621	11.50759	12.72621	ENSG00000216895	antisense	chr7	155611231	155645205	chr7:155611231	RBM33-DT	lncRNA	chr7	155611231	155645205	chr7:155611231	ENSG00000216895
AC009502.4	1.555672	1.391555	1.280025	1.391555	ENSG00000227308	lincRNA	chr2	219685381	219737937	chr2:219685381	LINC02832	lncRNA	chr2	219685381	219737937	chr2:219685381	ENSG00000227308
AC009506.1	1.19845	0.795402	1.17677	1.17677	ENSG00000224152	antisense	chr2	159615296	159617082	chr2:159615296	BAZ2B-AS1	lncRNA	chr2	159615292	159618637	chr2:159615292	ENSG00000224152
AC009948.5	1.31638	1.69909	1.5737905	1.5737905	ENSG00000223960	antisense	chr2	178413939	178440243	chr2:178413939	CHROMR	lncRNA	chr2	178413635	178440243	chr2:178413635	ENSG00000223960
AC010127.3	1.5716136	1.41373	1.5789555	1.5716136	ENSG00000236107	antisense	chr2	165957399	166301784	chr2:165957399	SCN1A-AS1	lncRNA	chr2	165957188	166390771	chr2:165957188	ENSG00000236107
AC010226.4	1.918476	2.40622	2.862308	2.40622	ENSG00000249249	antisense	chr5	115602057	115620659	chr5:115602057	TICAM2-AS1	lncRNA	chr5	115602057	115623897	chr5:115602057	ENSG00000249249
AC010894.3	2.78273	2.552	2.131473	2.552	ENSG00000226853	lincRNA	chr2	174487389	174488386	chr2:174487389	GPR155-DT	lncRNA	chr2	174487380	174488455	chr2:174487380	ENSG00000226853
AC012146.7	11.118655	10.666362	11.65547	11.118655	ENSG00000234327	processed_transcript	chr17	5111468	5115004	chr17:5111468	ZNF232-AS1	lncRNA	chr17	5097223	5115004	chr17:5097223	ENSG00000234327
AC012462.1	1.92495	2.01015	0	1.92495	ENSG00000230695	antisense	chr2	215436253	215436992	chr2:215436253	FN1-DT	lncRNA	chr2	215436253	215437122	chr2:215436253	ENSG00000230695
AC012594.1	1.6204835	1.0048763	0.8882146	1.0048763	ENSG00000231898	antisense	chr2	170332085	170408564	chr2:170332085	MYO3B-AS1	lncRNA	chr2	170332085	170408564	chr2:170332085	ENSG00000231898
AC013461.1	11.383797	11.5914890087127	11.48142	11.48142	ENSG00000091436	protein_coding	chr2	173075435	173268010	chr2:173075435	MAP3K20	protein_coding	chr2	173075435	173268015	chr2:173075435	ENSG00000091436
AC015971.2	2.318949	2.649971	2.744337	2.649971	ENSG00000228363	antisense	chr2	86562070	86618766	chr2:86562070	CHMP3-AS1	lncRNA	chr2	86562070	86618766	chr2:86562070	ENSG00000228363
AC016745.3	11.4145	11.4991	14.8027	11.4991	ENSG00000234997	antisense	chr2	113424495	113425324	chr2:113424495	LINC02966	lncRNA	chr2	113325009	113430988	chr2:113325009	ENSG00000234997
AC016747.3	5.62645	6.79153	5.793188	5.793188	ENSG00000212978	processed_transcript	chr2	61141592	61144969	chr2:61141592	C2orf74-DT	lncRNA	chr2	61141592	61144969	chr2:61141592	ENSG00000212978
AC018804.3	3.79932	4.03699	4.67179	4.03699	ENSG00000224087	antisense	chr2	130107684	130109741	chr2:130107684	POTEF-AS1	lncRNA	chr2	130107684	130109741	chr2:130107684	ENSG00000224087
AC020571.3	6.51573	6.77937	6.39239	6.51573	ENSG00000229056	antisense	chr2	196260024	196264204	chr2:196260024	HECW2-AS1	lncRNA	chr2	196260024	196264204	chr2:196260024	ENSG00000229056
AC025171.1	5.19956	4.74136	5.53118	5.19956	ENSG00000215068	antisense	chr5	43041575	43045390	chr5:43041575	ANXA2R-AS1	lncRNA	chr5	43041572	43064272	chr5:43041572	ENSG00000215068
AC025335.1	7.04538	8.14704	7.77266	7.77266	ENSG00000179859	antisense	chr17	7913324	7915953	chr17:7913324	RNF227	protein_coding	chr17	7913339	7916289	chr17:7913339	ENSG00000179859
AC034220.3	4.735425	4.900809	4.750432	4.750432	ENSG00000233006	processed_transcript	chr5	132311285	132369916	chr5:132311285	MIR3936HG	lncRNA	chr5	132311285	132370170	chr5:132311285	ENSG00000233006
AC034243.1	3.27207	3.77753	4.591	3.77753	ENSG00000253404	antisense	chr5	138744434	138753309	chr5:138744434	CTNNA1-AS1	lncRNA	chr5	138744434	138753309	chr5:138744434	ENSG00000253404
AC062017.1	4.56798	4.58305	3.84384	4.56798	ENSG00000222020	antisense	chr2	239401436	239402364	chr2:239401436	HDAC4-AS1	lncRNA	chr2	239401436	239402657	chr2:239401436	ENSG00000222020
AC062029.1	2.230968	2.105425	1.887402	2.105425	ENSG00000234028	antisense	chr2	88627539	88631821	chr2:88627539	EIF2AK3-DT	lncRNA	chr2	88627539	88631821	chr2:88627539	ENSG00000234028
AC068282.3	1.00487	1.01642	0.764692	1.00487	ENSG00000236682	lincRNA	chr2	127389130	127400580	chr2:127389130	MAP3K2-DT	lncRNA	chr2	127388173	127406228	chr2:127388173	ENSG00000236682
AC069363.1	1.95849	1.659672	1.30821	1.659672	ENSG00000277089	antisense	chr17	36072866	36090134	chr17:36072866	CCL3-AS1	lncRNA	chr17	36072866	36090134	chr17:36072866	ENSG00000277089
AC072062.1	4.32507	5.61553	5.45542	5.45542	ENSG00000229267	antisense	chr2	214810229	214963274	chr2:214810229	SNHG31	lncRNA	chr2	214810181	214963575	chr2:214810181	ENSG00000229267
AC074117.10	10.38908	12.46836	10.03278	10.38908	ENSG00000234072	antisense	chr2	27356246	27367622	chr2:27356246	GTF3C2-AS2	lncRNA	chr2	27356246	27367622	chr2:27356246	ENSG00000234072
AC074212.6	1.517091	2.307809	1.478385	1.517091	ENSG00000267395	antisense	chr19	45767796	45772504	chr19:45767796	DM1-AS	lncRNA	chr19	45767796	45772504	chr19:45767796	ENSG00000267395
AC079610.2	3.74528	4.8801	4.82723	4.82723	ENSG00000196096	lincRNA	chr2	213276552	213284205	chr2:213276552	SPAG16-DT	lncRNA	chr2	213276552	213284205	chr2:213276552	ENSG00000196096
AC079630.4	2.92742	2.64968	1.8712	2.64968	ENSG00000225342	antisense	chr12	40186009	40224915	chr12:40186009	LRRK2-DT	lncRNA	chr12	40186009	40224915	chr12:40186009	ENSG00000225342
AC079922.3	1.36177	1.35216	1.28285	1.35216	ENSG00000237753	lincRNA	chr2	112641832	112645690	chr2:112641832	SLC20A1-DT	lncRNA	chr2	112641832	112645720	chr2:112641832	ENSG00000237753
AC083843.1	1.7786	1.93994	1.98281	1.93994	ENSG00000259820	lincRNA	chr8	134792020	134798272	chr8:134792020	MIR30DHG	lncRNA	chr8	134792020	134798272	chr8:134792020	ENSG00000259820
