baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
3428.35315375043	-0.849436473826585	0.0460502614788473	-18.4458556053317	5.63008061356711e-76	1.04830986157171e-73	ENSG00000116641	DOCK7	protein_coding	chr1	62454726	62688368	chr1:62454726	DOCK7	protein_coding	chr1	62454298	62688386	chr1:62454298	ENSG00000116641
2185.41810602744	-0.904759878370311	0.0490549655830131	-18.4437980460762	5.84850451752176e-76	1.07830368584818e-73	ENSG00000135047	CTSL	protein_coding	chr9	87725519	87731393	chr9:87725519	CTSL	protein_coding	chr9	87724051	87731469	chr9:87724051	ENSG00000135047
23294.9800301953	0.492261308760799	0.0267190610273488	18.4236005994722	8.49594484796727e-76	1.55121105641624e-73	ENSG00000154734	ADAMTS1	protein_coding	chr21	26835747	26845409	chr21:26835747	ADAMTS1	protein_coding	chr21	26835755	26845409	chr21:26835755	ENSG00000154734
8924.11953133051	-0.747619840440763	0.0406245324152006	-18.4031617348788	1.23918763507578e-75	2.24078487165722e-73	ENSG00000131747	TOP2A	protein_coding	chr17	40388516	40417950	chr17:40388516	TOP2A	protein_coding	chr17	40388525	40417896	chr17:40388525	ENSG00000131747
1462.03209712406	-1.11708457910488	0.0607108882714168	-18.4000697553755	1.31195776692154e-75	2.34977883473586e-73	ENSG00000100731	PCNX	protein_coding	chr14	70907405	71115382	chr14:70907405	PCNX1	protein_coding	chr14	70907405	71115382	chr14:70907405	ENSG00000100731
5578.22896973614	-0.683118462696073	0.0371632989493699	-18.3815345248745	1.84669995260699e-75	3.27632446308746e-73	ENSG00000104331	IMPAD1	protein_coding	chr8	56957933	56993844	chr8:56957933	BPNT2	protein_coding	chr8	56957931	56993867	chr8:56957931	ENSG00000104331
3754.10417437716	-0.997088991464987	0.054481722287228	-18.3013485918879	8.07257148192061e-75	1.41881102139251e-72	ENSG00000138778	CENPE	protein_coding	chr4	103105806	103198409	chr4:103105806	CENPE	protein_coding	chr4	103105349	103198445	chr4:103105349	ENSG00000138778
5051.13773865984	-0.781000128037412	0.0427119549096988	-18.2852817130144	1.08402025082511e-74	1.88760044787195e-72	ENSG00000112118	MCM3	protein_coding	chr6	52264009	52284881	chr6:52264009	MCM3	protein_coding	chr6	52264014	52284881	chr6:52264014	ENSG00000112118
6374.43789249612	-0.74775671904535	0.0409100796875003	-18.2780557935168	1.23759672672124e-74	2.1352517470385e-72	ENSG00000070367	EXOC5	protein_coding	chr14	57200507	57269008	chr14:57200507	EXOC5	protein_coding	chr14	57200507	57268905	chr14:57200507	ENSG00000070367
1606.182581404	-1.0373627115328	0.0567614342818242	-18.2758368363673	1.28897564244187e-74	2.20367963016016e-72	ENSG00000149929	HIRIP3	protein_coding	chr16	29992321	29996436	chr16:29992321	HIRIP3	protein_coding	chr16	29992330	29996074	chr16:29992330	ENSG00000149929
20452.198252176	-0.512543585377004	0.0280528417727931	-18.2706475703325	1.41758518219938e-74	2.40172134562537e-72	ENSG00000143753	DEGS1	protein_coding	chr1	224175756	224193441	chr1:224175756	DEGS1	protein_coding	chr1	224175756	224193441	chr1:224175756	ENSG00000143753
1542.69133703618	-1.18958170735652	0.0652691508755776	-18.2257880085527	3.22201085266304e-74	5.36222443320187e-72	ENSG00000112941	PAPD7	protein_coding	chr5	6713007	6757048	chr5:6713007	TENT4A	protein_coding	chr5	6713432	6757044	chr5:6713432	ENSG00000112941
1217.57947156768	-1.13307725314971	0.0624538782694367	-18.142624358113	1.46848562363263e-73	2.42248602088028e-71	ENSG00000085999	RAD54L	protein_coding	chr1	46247688	46278473	chr1:46247688	RAD54L	protein_coding	chr1	46246461	46278480	chr1:46246461	ENSG00000085999
3714.42493921543	0.717262360521339	0.0396882819240075	18.0723963283345	5.25795175130667e-73	8.59835135957159e-71	ENSG00000095739	BAMBI	protein_coding	chr10	28677342	28682939	chr10:28677342	BAMBI	protein_coding	chr10	28677510	28682932	chr10:28677510	ENSG00000095739
1567.7802838198	-1.18862842902025	0.0659372357656782	-18.0266645275258	1.20335363098781e-72	1.93421097302195e-70	ENSG00000107863	ARHGAP21	protein_coding	chr10	24583609	24723668	chr10:24583609	ARHGAP21	protein_coding	chr10	24583609	24723887	chr10:24583609	ENSG00000107863
866.810872277995	-1.31696009481962	0.0730928963701717	-18.0176208663289	1.41707837381178e-72	2.25843863541561e-70	ENSG00000082146	STRADB	protein_coding	chr2	201387858	201480846	chr2:201387858	STRADB	protein_coding	chr2	201387858	201480846	chr2:201387858	ENSG00000082146
3324.85938796129	-0.830988560164329	0.0461542659950749	-18.0045883570763	1.79327999853721e-72	2.83398518088158e-70	ENSG00000184992	BRI3BP	protein_coding	chr12	124993700	125031231	chr12:124993700	BRI3BP	protein_coding	chr12	124993645	125031231	chr12:124993645	ENSG00000184992
2577.8643545	-0.945542716761519	0.0525886182878465	-17.9799878290402	2.7955394531241e-72	4.34486900458279e-70	ENSG00000170275	CRTAP	protein_coding	chr3	33113979	33147773	chr3:33113979	CRTAP	protein_coding	chr3	33114014	33147773	chr3:33114014	ENSG00000170275
