Gene	gene_id.107	gene_type.107	chr	start	stop	gene_name.84	gene_id.84	gene_type.84	Balaton.consensus.calls	Carrel_hybrids	Carrel_SNPs	Cotton_AI	Cotton_DNAm	Balaton_only_methylation_data	num_inf_females	pct_females_escape	Cotton_XCI_status	Cotton_AR	Cotton_AR_SD	Cotton_p.val	Cotton_p.adj	Cotton_myCall	total_count	Tuk_Skew_AR	Tuk_skew_padj	Y014	Y035	Y117	Tuk_SC_inf_samples	Tuk_SC_sig_samples	Tuk_SC_pct_sig	Tuk_AR	Tuk_myCall	Garieri_XCI_status	num_inf_samples	num_sig_samples	pct_sig_samples	Garieri_AR	Garieri_myCall	Sauteraud_AR	Sauteraud_XCI.status	Sauteraud_AR_p.adj	Sauteraud_myCall	SanRoman_LCL_AR	SanRoman_LCL_padj	SanRoman_LCL_myCall	SanRoman_fib_AR	SanRoman_fib_padj	SanRoman_fib_myCall	Avg_AR	num_studies_XCI_calls	num_studies_Esc	pct_studies_Esc	num_studies_Subject	pct_studies_Subject	Final_XCI_Call	Diff_from_Balaton
AGTR2	ENSG00000180772	protein_coding	chrX	116170744	116174974	AGTR2	ENSG00000180772	protein_coding	S	NA	NA	S	NA	FALSE	13	0.0769230769230769	subject	0.0198923076923077	0.0478239037431154	0.371467112104371	0.426574251174677	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0198923076923077	1	0	0	1	1	Subject	FALSE
AIFM1	ENSG00000156709	protein_coding	chrX	130124666	130165879	AIFM1	ENSG00000156709	protein_coding	S	0	NA	S	all F S or S+U	FALSE	30	0	subject	0.00031	0.00169793992826601	0.483565808649853	0.483565808649853	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	2	0	0	0.00804570148635797	Subject	0.00987579181052443	S	0.0918875800680829	Subject	0.00124533001245322	0.211324865405187	Subject	0	1	Subject	0.00389536466186712	5	0	0	5	1	Subject	FALSE
AKAP14	ENSG00000186471	protein_coding	chrX	119895837	119920716	AKAP14	ENSG00000186471	protein_coding	Mostly S	0	NA	VE	NA	FALSE	16	0.25	variable escape	0.09494375	0.0996019207897117	0.114420157474395	0.299658337526802	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09494375	1	0	0	1	1	Subject	FALSE
AKAP17A	ENSG00000197976	protein_coding	chrX	1591604	1602520	AKAP17A	ENSG00000197976	protein_coding	PAR	1	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	4	4	1	0.709947324480283	Escape	0.754200744703423	E	7.88948889990866e-52	Escape	0.818978959843496	1.22649554592909e-09	Escape	0.609489710726614	0.0306883417590156	Escape	0.723154184938454	4	4	1	0	0	Escape	FALSE
AKAP4	ENSG00000147081	protein_coding	chrX	50190777	50201007	AKAP4	ENSG00000147081	protein_coding	S	NA	NA	S	NA	FALSE	10	0	subject	0.01572	0.0460088349003633	0.408363572500426	0.43342936723191	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01572	1	0	0	1	1	Subject	FALSE
ALAS2	ENSG00000158578	protein_coding	chrX	55009055	55030977	ALAS2	ENSG00000158578	protein_coding	S	0	NA	S	NA	FALSE	19	0.157894736842105	subject	0.095621052631579	0.18402832686225	0.165624526402032	0.347142315438603	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.095621052631579	1	0	0	1	1	Subject	FALSE
ALG13	ENSG00000101901	protein_coding	chrX	111665811	111760649	ALG13	ENSG00000101901	protein_coding	VE	0.56	NA	VE	E or E+U and VE and U	FALSE	29	0.310344827586207	variable escape	0.1565	0.236946330571774	0.0416934443789555	0.174775549669359	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	3	1	0.333333333333333	0.0366649793227454	Subject	0.232192089853968	VE	0.000491465418109817	Escape	NA	NA	NA	NA	NA	NA	0.141785689725571	3	1	0.333333333333333	2	0.666666666666667	Escape	FALSE
ALG13-AS1	ENSG00000229487	lncRNA	chrX	111706649	111711101	ALG13-AS1	ENSG00000229487	antisense	No call	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	FALSE
AMELX	ENSG00000125363	protein_coding	chrX	11293413	11300761	AMELX	ENSG00000125363	protein_coding	No call	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	FALSE
AMER1	ENSG00000184675	protein_coding	chrX	64185117	64205708	AMER1	ENSG00000184675	protein_coding	S	NA	NA	NA	all F S or S+U	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	TRUE
AMMECR1	ENSG00000101935	protein_coding	chrX	110194186	110440318	AMMECR1	ENSG00000101935	protein_coding	S	0.22	NA	S	all F S	FALSE	37	0.027027027027027	subject	0.00767567567567568	0.0236956091268381	0.380827661769331	0.426574251174677	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	4	0	0	0.000885669049394022	Subject	NA	NA	NA	NA	NA	NA	NA	0.134647247157411	0.126881876672148	Subject	0.0477361972941602	3	0	0	3	1	Subject	FALSE
AMMECR1-IT1	ENSG00000224142	lncRNA	chrX	110305420	110307221	AMMECR1-IT1	ENSG00000224142	sense_intronic	No call	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	FALSE
AMOT	ENSG00000126016	protein_coding	chrX	112774503	112840831	AMOT	ENSG00000126016	protein_coding	S	0	NA	S	too much U	FALSE	27	0.185185185185185	subject	0.0628962962962963	0.110794211461824	0.163085051844091	0.346454137346093	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0304453011848557	0.130077152138365	Subject	0.046670798740576	2	0	0	2	1	Subject	FALSE
ANOS1	ENSG00000011201	protein_coding	chrX	8528874	8732137	ANOS1	ENSG00000011201	protein_coding	Mostly E	1	NA	VE	all F E or E+U	FALSE	7	0.571428571428571	variable escape	0.310857142857143	0.367515468414337	0.0874441178672627	0.264152254416658	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.310857142857143	1	0	0	1	1	Subject	TRUE
AP1S2	ENSG00000182287	protein_coding	chrX	15825806	15854931	AP1S2	ENSG00000182287	protein_coding	Mostly E	1	NA	VE	all F E	FALSE	32	0.59375	variable escape	0.239896875	0.190312355275648	0.000933042146544241	0.00860472201813022	Escape	17	0.0625	1	1	NA	NA	1	1	1	0.53125	Escape	escapee , relaxed set	3	2	0.666666666666667	0.277808862415215	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.349651912471738	3	3	1	0	0	Escape	FALSE
APEX2	ENSG00000169188	protein_coding	chrX	55000363	55009057	APEX2	ENSG00000169188	protein_coding	S	0	NA	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00761107623047163	S	0.587771349657336	Subject	NA	NA	NA	NA	NA	NA	0.00761107623047163	1	0	0	1	1	Subject	FALSE
APLN	ENSG00000171388	protein_coding	chrX	129645259	129654956	APLN	ENSG00000171388	protein_coding	Mostly S	0	NA	VE	all F S	FALSE	12	0.25	variable escape	0.122383333333333	0.151403397544041	0.13795685613527	0.329035030437568	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.122383333333333	1	0	0	1	1	Subject	FALSE
APOO	ENSG00000184831	protein_coding	chrX	23833353	23907938	APOO	ENSG00000184831	protein_coding	S	0.11	NA	S	all F S or S+U	FALSE	30	0.0666666666666667	subject	0.0296466666666667	0.0593239774361984	0.252486345934999	0.398220556633354	Subject	NA	NA	NA	0	NA	0	2	0	0	0	Subject	NA	NA	NA	NA	NA	NA	0.0266200642506287	S	0.0705546565155433	Subject	0.0139920746232582	0.178703440278645	Subject	0.0859502017387697	0.193096229089393	Subject	0.0312418014558647	5	0	0	5	1	Subject	FALSE
APOOL	ENSG00000155008	protein_coding	chrX	85003877	85093315	APOOL	ENSG00000155008	protein_coding	Mostly S	0	NA	S	S or S+U and VE	FALSE	29	0.0344827586206897	subject	0.0280758620689655	0.106078143888538	0.321246867836185	0.412998523878752	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	3	0	0	0.00127646197601661	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0146761620224911	2	0	0	2	1	Subject	FALSE
AR	ENSG00000169083	protein_coding	chrX	67544021	67730619	AR	ENSG00000169083	protein_coding	Mostly S	0	NA	S	S or S+U and VE and U	FALSE	17	0.176470588235294	subject	0.0764117647058823	0.0973689945667571	0.156329553954538	0.345554392269446	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0764117647058823	1	0	0	1	1	Subject	FALSE
ARAF	ENSG00000078061	protein_coding	chrX	47561205	47571908	ARAF	ENSG00000078061	protein_coding	S	0	NA	S	all F S or S+U	FALSE	13	0	subject	0.0446461538461538	0.050841135172624	0.237639056840131	0.398220556633354	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	2	0	0	0.00588698297654855	Subject	0.00379952059269789	S	0.470549466958841	Subject	NA	NA	NA	0.189708141321044	0.186586982326158	Subject	0.0610101996841111	4	0	0	4	1	Subject	FALSE
ARHGAP36	ENSG00000147256	protein_coding	chrX	131058346	131089885	ARHGAP36	ENSG00000147256	protein_coding	No call	NA	NA	NA	NA	TRUE	10	0	subject	0.07796	0.108473951814351	0.227070326337443	0.398220556633354	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07796	1	0	0	1	1	Subject	TRUE
ARHGAP4	ENSG00000089820	protein_coding	chrX	153907367	153934999	ARHGAP4	ENSG00000089820	protein_coding	Discordant	0.78	VE	S	NA	FALSE	10	0.1	subject	0.09444	0.13370672882594	0.207040921051396	0.387035956019502	Subject	144	0	1	0.0277777777777778	NA	NA	1	0	0	0.0138888888888889	Subject	NA	NA	NA	NA	NA	NA	0.0407023272668556	S	0.0407108222890983	Subject	0.0220716208279129	0.199157939461553	Subject	NA	NA	NA	0.0427757092459143	4	0	0	4	1	Subject	TRUE
ARHGAP6	ENSG00000047648	protein_coding	chrX	11117651	11665920	ARHGAP6	ENSG00000047648	protein_coding	Mostly S	0.11	E	S	S or S+U and VE and U	FALSE	73	0.0958904109589041	subject	0.0396260273972603	0.0839882978412887	0.121354711859837	0.304764907584316	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	3	0	0	0.00126478087169501	Subject	NA	NA	NA	NA	0.131125513065553	0.158976600249026	Subject	NA	NA	NA	0.0573387737781694	3	0	0	3	1	Subject	FALSE
ARHGEF6	ENSG00000129675	protein_coding	chrX	136665547	136780932	ARHGEF6	ENSG00000129675	protein_coding	S	0	NA	S	all F S or S+U	FALSE	40	0.05	subject	0.0292375	0.0661976050674544	0.236162153876795	0.398220556633354	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0292375	1	0	0	1	1	Subject	FALSE
ARHGEF9	ENSG00000131089	protein_coding	chrX	63634967	63809274	ARHGEF9	ENSG00000131089	protein_coding	S	NA	NA	NA	all F S or S+U	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	TRUE
ARHGEF9-IT1	ENSG00000231729	lncRNA	chrX	63670196	63671502	ARHGEF9-IT1	ENSG00000231729	sense_intronic	No call	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	FALSE
ARL13A	ENSG00000174225	protein_coding	chrX	100969708	100990831	ARL13A	ENSG00000174225	protein_coding	S	NA	NA	S	NA	FALSE	21	0	subject	0.015147619047619	0.0360446891933835	0.357323245488598	0.420075569325101	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.015147619047619	1	0	0	1	1	Subject	FALSE
ARMCX1	ENSG00000126947	protein_coding	chrX	101550547	101554700	ARMCX1	ENSG00000126947	protein_coding	S	0.11	NA	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	3	0	0	0.00336468838823079	Subject	NA	NA	NA	NA	NA	NA	NA	0.0704330827495479	0.114116661077312	Subject	0.0368988855688893	2	0	0	2	1	Subject	FALSE
ARMCX2	ENSG00000184867	protein_coding	chrX	101655281	101659850	ARMCX2	ENSG00000184867	protein_coding	S	0.11	NA	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	2	0	0	0	Subject	NA	NA	NA	NA	NA	NA	0.0442965056617202	S	0.127541522757134	Subject	NA	NA	NA	NA	NA	NA	0.0221482528308601	2	0	0	2	1	Subject	FALSE
ARMCX3	ENSG00000102401	protein_coding	chrX	101622797	101627843	ARMCX3	ENSG00000102401	protein_coding	S	0	S	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0248881116054581	S	0.0705936640333156	Subject	0.00619736214841886	0.206929924097361	Subject	0.0313752597117045	0.176978487903424	Subject	0.0208202444885272	3	0	0	3	1	Subject	FALSE
ARMCX3-AS1	ENSG00000228275	lncRNA	chrX	101622983	101624164	ARMCX3-AS1	ENSG00000228275	antisense	No call	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	FALSE
ARMCX4	ENSG00000196440	protein_coding	chrX	101418287	101533459	ARMCX4	ENSG00000196440	protein_coding	Mostly S	0.33	NA	S	all F S or S+U	FALSE	36	0.0833333333333333	subject	0.0580222222222222	0.104641333300568	0.140918362296334	0.334177830588449	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	inactivated gene	2	0	0	0.00112854147540264	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0295753818488124	2	0	0	2	1	Subject	FALSE
ARMCX5	ENSG00000125962	protein_coding	chrX	102599168	102604159	ARMCX5	ENSG00000125962	protein_coding	S	0	NA	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	Subject	FALSE
ARMCX5-GPRASP2	ENSG00000271147	lncRNA	chrX	102599512	102714671	ARMCX5-GPRASP2	ENSG00000271147	processed_transcript	S	NA	NA	NA	all F S or S+U	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	TRUE
ARMCX6	ENSG00000198960	protein_coding	chrX	101615118	101618001	ARMCX6	ENSG00000198960	protein_coding	S	0	NA	NA	all F S or S+U	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0254594699403245	0.150075202169044	Subject	0.0286738351254482	0.211324865405187	Subject	0.0270666525328863	2	0	0	2	1	Subject	FALSE
ARR3	ENSG00000120500	protein_coding	chrX	70268305	70281840	ARR3	ENSG00000120500	protein_coding	S	0	NA	S	NA	FALSE	17	0.117647058823529	subject	0.0606529411764706	0.0946649428091457	0.208167418011015	0.38739676445996	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0606529411764706	1	0	0	1	1	Subject	FALSE
ARSD	ENSG00000006756	protein_coding	chrX	2903972	2929349	ARSD	ENSG00000006756	protein_coding	Mostly E	1	E	VE	all F E or E+U	FALSE	42	0.619047619047619	variable escape	0.287652380952381	0.254200329333416	0.000108879819380963	0.00129100357265999	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	escapee , robust set	2	2	1	0.271353199257124	Escape	NA	NA	NA	NA	NA	NA	NA	0.473917818259323	0.0466427312478656	Escape	0.344307799489609	3	3	1	0	0	Escape	FALSE
ARSD-AS1	ENSG00000229851	lncRNA	chrX	2904904	2906081	ARSD-AS1	ENSG00000229851	antisense	No call	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	FALSE
ARSF	ENSG00000062096	protein_coding	chrX	3041471	3112727	ARSF	ENSG00000062096	protein_coding	No call	NA	NA	NA	NA	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	FALSE
ARSH	ENSG00000205667	protein_coding	chrX	3006546	3034111	ARSH	ENSG00000205667	protein_coding	E	NA	NA	E	NA	FALSE	16	0.8125	escape	0.5448	0.181176786592543	1.52998598412797e-07	2.76062688440482e-06	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5448	1	1	1	0	0	Escape	FALSE
ARSL	ENSG00000157399	protein_coding	chrX	2934045	2968475	ARSE	ENSG00000157399	protein_coding	Mostly VE	1	VE	VE	NA	FALSE	9	0.777777777777778	variable escape	0.452844444444444	0.206785233461623	0.00140626344100135	0.0124170069790544	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	escapee , robust set	2	2	1	0.1098484397096	Escape	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.281346442077022	2	2	1	0	0	Escape	FALSE
ARX	ENSG00000004848	protein_coding	chrX	25003694	25016420	ARX	ENSG00000004848	protein_coding	No call	NA	NA	NA	too much U	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	No call	FALSE
ASB11	ENSG00000165192	protein_coding	chrX	15281697	15315640	ASB11	ENSG00000165192	protein_coding	VE	0.33	NA	VE	NA	FALSE	16	0.4375	variable escape	0.2189375	0.220488545053932	0.0310882059482619	0.144961859196952	Subject	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2189375	1	0	0	1	1	Subject	TRUE
ASB12	ENSG00000198881	protein_coding	chrX	64224194	64230607	ASB12	ENSG00000198881	protein_coding	S	0	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	NA	Subject	FALSE
