baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	Gene	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
TTC7B	651.279420973571	-0.456583724681042	0.0507160489147257	-9.00274635843073	2.2014050972621e-19	2.94808168070619e-16	ENSG00000165914	TTC7B	protein_coding	chr14	90524564	90816479	chr14:90524564	TTC7B	protein_coding	chr14	90524564	90816479	chr14:90524564	ENSG00000165914
NSMAF	1397.74663023339	-0.498204852392061	0.0558576275306738	-8.91919106514997	4.69706408210674e-19	5.76603758279286e-16	ENSG00000035681	NSMAF	protein_coding	chr8	58583504	58659844	chr8:58583504	NSMAF	protein_coding	chr8	58583508	58659853	chr8:58583508	ENSG00000035681
DLG3	144.705229347502	-0.920761299978434	0.103378459484724	-8.90670362634384	5.25723562486232e-19	5.95725676844976e-16	ENSG00000082458	DLG3	protein_coding	chrX	70444861	70505490	chrX:70444861	DLG3	protein_coding	chrX	70444835	70505490	chrX:70444835	ENSG00000082458
ALDOC	303.525760550294	0.794575769135933	0.0903035450792463	8.79894325786047	1.38110491284986e-18	1.4532183193708e-15	ENSG00000109107	ALDOC	protein_coding	chr17	28573115	28577264	chr17:28573115	ALDOC	protein_coding	chr17	28573115	28576948	chr17:28573115	ENSG00000109107
TNFAIP2	254.963905120101	-0.761483136498898	0.087368033504958	-8.71580950091642	2.88688390904438e-18	2.83511245760885e-15	ENSG00000185215	TNFAIP2	protein_coding	chr14	103123442	103137439	chr14:103123442	TNFAIP2	protein_coding	chr14	103121476	103137439	chr14:103121476	ENSG00000185215
SEPT5	510.894393454868	-0.622824041286058	0.0726985763674555	-8.56721097450366	1.06021542308892e-17	9.76127087345178e-15	ENSG00000184702	SEPT5	protein_coding	chr22	19714464	19724772	chr22:19714464	SEPTIN5	protein_coding	chr22	19714503	19724224	chr22:19714503	ENSG00000184702
ADGRA3	495.188342533723	-0.587542037032038	0.0717388322011235	-8.1900139576406	2.61195885041912e-16	2.2633391662073e-13	ENSG00000152990	ADGRA3	protein_coding	chr4	22345071	22516054	chr4:22345071	ADGRA3	protein_coding	chr4	22345071	22516066	chr4:22345071	ENSG00000152990
B3GALNT1	130.458283471708	-1.33723462656867	0.163900818598923	-8.15880383026625	3.38358661599989e-16	2.76908969112746e-13	ENSG00000169255	B3GALNT1	protein_coding	chr3	161083883	161105384	chr3:161083883	B3GALNT1	protein_coding	chr3	161083883	161105411	chr3:161083883	ENSG00000169255
MAP6	126.51863269639	-1.59637577052953	0.196915899245571	-8.10689119896157	5.19313230249348e-16	4.02631747094902e-13	ENSG00000171533	MAP6	protein_coding	chr11	75586918	75669120	chr11:75586918	MAP6	protein_coding	chr11	75586918	75669038	chr11:75586918	ENSG00000171533
ACOT7	1775.74388936809	-0.489121465402167	0.0608325778768134	-8.04045270599321	8.95071722465562e-16	6.27871502078105e-13	ENSG00000097021	ACOT7	protein_coding	chr1	6264269	6394391	chr1:6264269	ACOT7	protein_coding	chr1	6264269	6393767	chr1:6264269	ENSG00000097021
SEPN1	5961.82525819684	-0.385860474811236	0.0479895937607557	-8.04050304603286	8.9470406798371e-16	6.27871502078105e-13	ENSG00000162430	SEPN1	protein_coding	chr1	25800176	25818224	chr1:25800176	SELENON	protein_coding	chr1	25800193	25818221	chr1:25800193	ENSG00000162430
MVB12B	162.112318793304	-1.19827197700445	0.1505974865395	-7.95678602969352	1.76565667022476e-15	1.18226765495823e-12	ENSG00000196814	MVB12B	protein_coding	chr9	126326849	126507041	chr9:126326849	MVB12B	protein_coding	chr9	126326829	126507041	chr9:126326829	ENSG00000196814
RAB36	96.5268877556027	-1.31991023222951	0.166148297040737	-7.94416949037939	1.95496137217521e-15	1.24046135668137e-12	ENSG00000100228	RAB36	protein_coding	chr22	23145326	23164350	chr22:23145326	RAB36	protein_coding	chr22	23145366	23165663	chr22:23145366	ENSG00000100228
TM4SF1	862.207863760704	-0.686187212270648	0.0864210079650631	-7.94005101801229	2.02098109838795e-15	1.24046135668137e-12	ENSG00000169908	TM4SF1	protein_coding	chr3	149369022	149377865	chr3:149369022	TM4SF1	protein_coding	chr3	149369022	149377692	chr3:149369022	ENSG00000169908
FBXO44	161.759207675718	-1.25614033669488	0.159074004373643	-7.89657833560526	2.86664118199794e-15	1.68913965008047e-12	ENSG00000132879	FBXO44	protein_coding	chr1	11654375	11663327	chr1:11654375	FBXO44	protein_coding	chr1	11654375	11663327	chr1:11654375	ENSG00000132879
ADCK2	281.423420476145	-0.688005248183852	0.0882900970477711	-7.79255285914561	6.56686840211663e-15	3.5902880527088e-12	ENSG00000133597	ADCK2	protein_coding	chr7	140673153	140696261	chr7:140673153	ADCK2	protein_coding	chr7	140672945	140696261	chr7:140672945	ENSG00000133597
SIMC1	223.354204316004	-0.866061009772602	0.111208898141896	-7.78769526758152	6.82425262886744e-15	3.5902880527088e-12	ENSG00000170085	SIMC1	protein_coding	chr5	176238367	176345991	chr5:176238367	SIMC1	protein_coding	chr5	176238367	176345991	chr5:176238367	ENSG00000170085
TMEM200B	319.218162603797	-0.672510862645037	0.0863259826973593	-7.79036440283244	6.68162112452253e-15	3.5902880527088e-12	ENSG00000253304	TMEM200B	protein_coding	chr1	29119428	29123935	chr1:29119428	TMEM200B	protein_coding	chr1	29119429	29123903	chr1:29119429	ENSG00000253304
FBXW4	495.838739150094	-0.533677681408312	0.0695149668961399	-7.67716227507758	1.62651339753832e-14	8.26212719280588e-12	ENSG00000107829	FBXW4	protein_coding	chr10	101610664	101695295	chr10:101610664	FBXW4	protein_coding	chr10	101610664	101695295	chr10:101610664	ENSG00000107829
VSTM4	1620.86164270524	-0.4211019691828	0.055216360889999	-7.62639845138855	2.41402921565977e-14	1.18536881252947e-11	ENSG00000165633	VSTM4	protein_coding	chr10	49014245	49115509	chr10:49014245	VSTM4	protein_coding	chr10	49014236	49115522	chr10:49014236	ENSG00000165633
HSPB8	1759.34314364672	-0.642183705325488	0.0847183471278999	-7.58021995348869	3.44969617917288e-14	1.63927336823857e-11	ENSG00000152137	HSPB8	protein_coding	chr12	119178642	119221131	chr12:119178642	HSPB8	protein_coding	chr12	119171555	119224855	chr12:119171555	ENSG00000152137
KIAA0368	5216.66297213047	-0.221917113042032	0.0294442937722248	-7.53684618006934	4.81473688845129e-14	2.14993878054005e-11	ENSG00000136813	KIAA0368	protein_coding	chr9	111360692	111484745	chr9:111360692	ECPAS	protein_coding	chr9	111360685	111484745	chr9:111360685	ENSG00000136813
RGL1	1096.93718419348	0.379588818704844	0.0503646824933809	7.536805553271	4.81623649160422e-14	2.14993878054005e-11	ENSG00000143344	RGL1	protein_coding	chr1	183636085	183928531	chr1:183636085	RGL1	protein_coding	chr1	183636085	183928532	chr1:183636085	ENSG00000143344
ACADSB	553.290045892215	-0.736069805715983	0.0983017391267464	-7.48786147889941	7.00048523536798e-14	3.03306317653546e-11	ENSG00000196177	ACADSB	protein_coding	chr10	123008979	123058311	chr10:123008979	ACADSB	protein_coding	chr10	123008979	123058290	chr10:123008979	ENSG00000196177
HINT1	4658.00125527603	-0.409450401454266	0.0549092386852405	-7.45685810363138	8.86100420103203e-14	3.72947008244008e-11	ENSG00000169567	HINT1	protein_coding	chr5	131159027	131171735	chr5:131159027	HINT1	protein_coding	chr5	131155383	131224468	chr5:131155383	ENSG00000169567
BIN1	787.140834866115	-0.392389278960176	0.0548402409638696	-7.15513411435763	8.35911576382201e-13	3.42050373102395e-10	ENSG00000136717	BIN1	protein_coding	chr2	127048027	127107355	chr2:127048027	BIN1	protein_coding	chr2	127048027	127107288	chr2:127048027	ENSG00000136717
HADH	572.064425194892	-0.534532517004443	0.0747874012919705	-7.14736048813389	8.84623496993748e-13	3.52199695519322e-10	ENSG00000138796	HADH	protein_coding	chr4	107989714	108035175	chr4:107989714	HADH	protein_coding	chr4	107989714	108035241	chr4:107989714	ENSG00000138796
PAPSS2	6963.69752994473	0.246347321947855	0.0350549915922886	7.02745345978195	2.10336931733286e-12	8.15387721411325e-10	ENSG00000198682	PAPSS2	protein_coding	chr10	87659613	87747705	chr10:87659613	PAPSS2	protein_coding	chr10	87659613	87747705	chr10:87659613	ENSG00000198682
SYNM	177.809242997127	-0.682552859081456	0.0986578823799014	-6.9183814066995	4.56832989167114e-12	1.72554019574891e-09	ENSG00000182253	SYNM	protein_coding	chr15	99098217	99135593	chr15:99098217	SYNM	protein_coding	chr15	99098217	99135593	chr15:99098217	ENSG00000182253
THAP4	1265.31900016526	-0.328662965066426	0.0476511374500693	-6.89727428670117	5.30097722824887e-12	1.95221738873335e-09	ENSG00000176946	THAP4	protein_coding	chr2	241584405	241637449	chr2:241584405	THAP4	protein_coding	chr2	241584405	241637158	chr2:241584405	ENSG00000176946
MAGEE1	127.731311239841	-0.824117936950723	0.119789742907	-6.8797036954202	5.99771803819688e-12	2.15493620538239e-09	ENSG00000198934	MAGEE1	protein_coding	chrX	76427724	76431353	chrX:76427724	MAGEE1	protein_coding	chrX	76427710	76431342	chrX:76427710	ENSG00000198934
MID2	242.829619707784	-0.620200830985925	0.0902824795081348	-6.86955912558918	6.44006217774282e-12	2.25877514143642e-09	ENSG00000080561	MID2	protein_coding	chrX	107825755	107927193	chrX:107825755	MID2	protein_coding	chrX	107825755	107931637	chrX:107825755	ENSG00000080561
SAT2	421.099561921389	-0.507081092898374	0.0739087085603472	-6.86091128874667	6.84226459808946e-12	2.34403255335944e-09	ENSG00000141504	SAT2	protein_coding	chr17	7626234	7627876	chr17:7626234	SAT2	protein_coding	chr17	7626234	7627876	chr17:7626234	ENSG00000141504
ADAM15	1790.8262644371	-0.436249162342492	0.0636360015121057	-6.85538299038953	7.11217156871088e-12	2.38112271315182e-09	ENSG00000143537	ADAM15	protein_coding	chr1	155050566	155062775	chr1:155050566	ADAM15	protein_coding	chr1	155050566	155062775	chr1:155050566	ENSG00000143537
PIGX	593.68347102172	-0.633952055411559	0.0941932809928542	-6.73033202293539	1.69276368935407e-11	5.54135597952775e-09	ENSG00000163964	PIGX	protein_coding	chr3	196639775	196736007	chr3:196639775	PIGX	protein_coding	chr3	196639775	196736007	chr3:196639775	ENSG00000163964
MANSC1	422.965981437347	0.507515235039156	0.0763490254618885	6.64730469012332	2.98508690786201e-11	9.55941635645983e-09	ENSG00000111261	MANSC1	protein_coding	chr12	12326056	12350541	chr12:12326056	MANSC1	protein_coding	chr12	12326056	12350242	chr12:12326056	ENSG00000111261
FAM92A1	636.882892006747	-0.543406898611558	0.0827456505458885	-6.56719591938188	5.12715696685811e-11	1.60698189954866e-08	ENSG00000188343	FAM92A1	protein_coding	chr8	93698561	93731527	chr8:93698561	CIBAR1	protein_coding	chr8	93698561	93731527	chr8:93698561	ENSG00000188343
PYGO1	226.966836445535	-0.687481645902077	0.104871311223674	-6.55547868983719	5.546366959449e-11	1.70215690999257e-08	ENSG00000171016	PYGO1	protein_coding	chr15	55538890	55588947	chr15:55538890	PYGO1	protein_coding	chr15	55538884	55588947	chr15:55538884	ENSG00000171016
MARK4	1648.41910769327	-0.320908976793357	0.0491196868354536	-6.53320486077959	6.43769892679497e-11	1.93538250797177e-08	ENSG00000007047	MARK4	protein_coding	chr19	45079288	45305283	chr19:45079288	MARK4	protein_coding	chr19	45079288	45305284	chr19:45079288	ENSG00000007047
C15orf59	268.644667294297	-0.64676691304513	0.0996900834581551	-6.48777582091814	8.71127666161396e-11	2.51619248043599e-08	ENSG00000205363	C15orf59	protein_coding	chr15	73735431	73752747	chr15:73735431	INSYN1	protein_coding	chr15	73735458	73753351	chr15:73735458	ENSG00000205363
H2AFX	862.013939319715	-0.611858206536769	0.0943030104235306	-6.48821499747263	8.68592741492596e-11	2.51619248043599e-08	ENSG00000188486	H2AFX	protein_coding	chr11	119093854	119095467	chr11:119093854	H2AX	protein_coding	chr11	119093874	119095465	chr11:119093874	ENSG00000188486
ZNF319	313.190959170499	-0.534966029279722	0.0826993479466141	-6.46880589221894	9.87803867305288e-11	2.79833437870658e-08	ENSG00000166188	ZNF319	protein_coding	chr16	57994668	58000453	chr16:57994668	ZNF319	protein_coding	chr16	57994676	58000672	chr16:57994676	ENSG00000166188
GRK6	540.025870911228	-0.41907941579332	0.0651108537210059	-6.4363987237679	1.22341399407017e-10	3.40039840502786e-08	ENSG00000198055	GRK6	protein_coding	chr5	177403204	177442901	chr5:177403204	GRK6	protein_coding	chr5	177403204	177442901	chr5:177403204	ENSG00000198055
GFPT2	574.321973033984	-0.506987153428774	0.0791863475807674	-6.40245659659532	1.52896601912588e-10	4.17096267180433e-08	ENSG00000131459	GFPT2	protein_coding	chr5	180300690	180353387	chr5:180300690	GFPT2	protein_coding	chr5	180300698	180353336	chr5:180300698	ENSG00000131459
CH25H	401.654112064273	0.77802305791215	0.122409025725016	6.35592884841622	2.07170909930026e-10	5.54879031668947e-08	ENSG00000138135	CH25H	protein_coding	chr10	89205629	89207314	chr10:89205629	CH25H	protein_coding	chr10	89205629	89207317	chr10:89205629	ENSG00000138135
PDCD7	585.985193611246	-0.328072594446441	0.0516822700563133	-6.34787508538172	2.18309224887164e-10	5.74270212823717e-08	ENSG00000090470	PDCD7	protein_coding	chr15	65117379	65133836	chr15:65117379	PDCD7	protein_coding	chr15	65117379	65133808	chr15:65117379	ENSG00000090470
CPNE3	5321.94879024749	-0.396677278252345	0.0630083616803725	-6.2956291462489	3.06155537766116e-10	7.91224074882921e-08	ENSG00000085719	CPNE3	protein_coding	chr8	86484830	86561498	chr8:86484830	CPNE3	protein_coding	chr8	86514435	86561498	chr8:86514435	ENSG00000085719
CEP112	265.18308254317	-0.771562151513509	0.122626984670587	-6.29194425342969	3.13514083019951e-10	7.9627171671843e-08	ENSG00000154240	CEP112	protein_coding	chr17	65635538	66192084	chr17:65635538	CEP112	protein_coding	chr17	65635537	66192133	chr17:65635537	ENSG00000154240
HSPD1	9612.0401957831	-0.266684967462893	0.0424478808673232	-6.28264502288003	3.32860515533869e-10	8.3107936514058e-08	ENSG00000144381	HSPD1	protein_coding	chr2	197486581	197516737	chr2:197486581	HSPD1	protein_coding	chr2	197486584	197516737	chr2:197486584	ENSG00000144381
DENND1A	648.399349083841	-0.446812700205934	0.0713892311598357	-6.25882493685287	3.87888995507331e-10	9.52332132136416e-08	ENSG00000119522	DENND1A	protein_coding	chr9	123379654	123930152	chr9:123379654	DENND1A	protein_coding	chr9	123379654	123930152	chr9:123379654	ENSG00000119522
TUB	861.981750901949	-0.370559306740177	0.0593709147286752	-6.24142828914851	4.33593214456109e-10	1.04709207248409e-07	ENSG00000166402	TUB	protein_coding	chr11	8019244	8106112	chr11:8019244	TUB	protein_coding	chr11	8019244	8106243	chr11:8019244	ENSG00000166402
MAPK8IP1	209.942471738128	-0.638604978458873	0.102515529094565	-6.22934870549996	4.68378227921977e-10	1.11285156056752e-07	ENSG00000121653	MAPK8IP1	protein_coding	chr11	45885651	45906465	chr11:45885651	MAPK8IP1	protein_coding	chr11	45885651	45906465	chr11:45885651	ENSG00000121653
NREP	8189.53117336936	0.409698026187843	0.0658092011407484	6.22554322322812	4.79890324881809e-10	1.12210545648158e-07	ENSG00000134986	NREP	protein_coding	chr5	111662621	111997464	chr5:111662621	NREP	protein_coding	chr5	111662621	111997464	chr5:111662621	ENSG00000134986
GSTM1	686.162336237768	-0.530522495351526	0.0856296416521818	-6.19554730249194	5.8082845076512e-10	1.33690373565953e-07	ENSG00000134184	GSTM1	protein_coding	chr1	109687814	109709039	chr1:109687814	GSTM1	protein_coding	chr1	109687814	109709039	chr1:109687814	ENSG00000134184
ACOX2	294.153655541461	-0.750293924865474	0.121491830645225	-6.17567387766548	6.58818543937221e-10	1.49308553395988e-07	ENSG00000168306	ACOX2	protein_coding	chr3	58505136	58537319	chr3:58505136	ACOX2	protein_coding	chr3	58505136	58537283	chr3:58505136	ENSG00000168306
MTHFD2	3367.47166582611	0.436598042592248	0.0708842720770432	6.15930769688535	7.30636430309247e-10	1.63075837195235e-07	ENSG00000065911	MTHFD2	protein_coding	chr2	74198562	74217565	chr2:74198562	MTHFD2	protein_coding	chr2	74186172	74217565	chr2:74186172	ENSG00000065911
BEND7	138.14991544015	-0.691737649554152	0.114400228017526	-6.04664572388945	1.47892467978174e-09	3.25164768027832e-07	ENSG00000165626	BEND7	protein_coding	chr10	13438484	13528974	chr10:13438484	BEND7	protein_coding	chr10	13438484	13529014	chr10:13438484	ENSG00000165626
NINJ1	180.866237075421	-0.615983883402914	0.102447933571628	-6.01265308072064	1.82511346492776e-09	3.95378624291923e-07	ENSG00000131669	NINJ1	protein_coding	chr9	93121489	93134288	chr9:93121489	NINJ1	protein_coding	chr9	93121496	93134251	chr9:93121496	ENSG00000131669
HSPA12A	547.025239090987	-0.45560738156662	0.0763494474067178	-5.96739592808805	2.41069950041919e-09	5.14666874502537e-07	ENSG00000165868	HSPA12A	protein_coding	chr10	116671192	116742574	chr10:116671192	HSPA12A	protein_coding	chr10	116671192	116850251	chr10:116671192	ENSG00000165868
PIGZ	170.072012522309	-0.608982762570726	0.102213307294236	-5.95795966974908	2.55406523513462e-09	5.37484785410972e-07	ENSG00000119227	PIGZ	protein_coding	chr3	196946343	196969060	chr3:196946343	PIGZ	protein_coding	chr3	196946356	196969060	chr3:196946356	ENSG00000119227
GSTM2	563.185068347922	-0.447101593058369	0.0751322884811958	-5.95085817424915	2.66740153159658e-09	5.53429464252807e-07	ENSG00000213366	GSTM2	protein_coding	chr1	109668022	109709551	chr1:109668022	GSTM2	protein_coding	chr1	109668022	109709551	chr1:109668022	ENSG00000213366
URGCP	1175.81544846479	-0.351878060328789	0.0595451030215661	-5.90943742596843	3.43278042274948e-09	7.02337338993369e-07	ENSG00000106608	URGCP	protein_coding	chr7	43875894	43926411	chr7:43875894	URGCP	protein_coding	chr7	43875894	43926411	chr7:43875894	ENSG00000106608
DIP2C	3064.09143489455	-0.206521401460629	0.0350958138925318	-5.88450241082957	3.99253319706239e-09	8.05671322272959e-07	ENSG00000151240	DIP2C	protein_coding	chr10	274190	689668	chr10:274190	DIP2C	protein_coding	chr10	274190	689668	chr10:274190	ENSG00000151240
TNFSF12	475.68729583457	-0.400869435460933	0.0681822301455983	-5.87938286273277	4.11798890309338e-09	8.19758034209036e-07	ENSG00000239697	TNFSF12	protein_coding	chr17	7548891	7557890	chr17:7548891	TNFSF12	protein_coding	chr17	7548508	7557890	chr17:7548508	ENSG00000239697
NLGN4Y	989.524656864049	-0.480457892754943	0.0820569711264976	-5.85517459588263	4.76509149367565e-09	9.35927503911146e-07	ENSG00000165246	NLGN4Y	protein_coding	chrY	14522638	14845650	chrY:14522638	NLGN4Y	protein_coding	chrY	14522573	14845654	chrY:14522573	ENSG00000165246
TOR4A	661.767473611999	-0.512354796658597	0.0877433138500819	-5.83924602544651	5.24375865649394e-09	1.01639222064227e-06	ENSG00000198113	TOR4A	protein_coding	chr9	137277749	137282641	chr9:137277749	TOR4A	protein_coding	chr9	137277726	137282641	chr9:137277726	ENSG00000198113
DIRC2	444.570445320182	-0.518657825394235	0.0888909375050349	-5.83476606223056	5.38660895199767e-09	1.01730944194715e-06	ENSG00000138463	DIRC2	protein_coding	chr3	122794795	122881139	chr3:122794795	SLC49A4	protein_coding	chr3	122795069	122881139	chr3:122795069	ENSG00000138463
PQLC2	251.324522732296	-0.55624670026873	0.0953150790547272	-5.83587304113077	5.3509630699386e-09	1.01730944194715e-06	ENSG00000040487	PQLC2	protein_coding	chr1	19312326	19329300	chr1:19312326	SLC66A1	protein_coding	chr1	19312326	19329300	chr1:19312326	ENSG00000040487
EXT2	5955.73586527524	-0.259090499456138	0.0445787409126701	-5.81197436607053	6.17402963972285e-09	1.13687038278447e-06	ENSG00000151348	EXT2	protein_coding	chr11	44095549	44245429	chr11:44095549	EXT2	protein_coding	chr11	44095648	44251962	chr11:44095648	ENSG00000151348
SMO	45.8984763782535	-1.29969725735469	0.223567043036451	-5.81345640082911	6.11959158738219e-09	1.13687038278447e-06	ENSG00000128602	SMO	protein_coding	chr7	129188872	129213545	chr7:129188872	SMO	protein_coding	chr7	129188633	129213545	chr7:129188633	ENSG00000128602
GIT1	1081.3786001848	-0.334086295927848	0.0578197957448822	-5.77806081159356	7.55664981709555e-09	1.34265787908977e-06	ENSG00000108262	GIT1	protein_coding	chr17	29573469	29594054	chr17:29573469	GIT1	protein_coding	chr17	29573475	29594054	chr17:29573475	ENSG00000108262
PRDX2	2752.69326141769	-0.419224142661485	0.0725069144614794	-5.78185054177427	7.38833352681439e-09	1.34265787908977e-06	ENSG00000167815	PRDX2	protein_coding	chr19	12796820	12801859	chr19:12796820	PRDX2	protein_coding	chr19	12796820	12801800	chr19:12796820	ENSG00000167815
PSEN2	326.929336361546	-0.637817483198864	0.110389647972814	-5.77787405713933	7.56503998129463e-09	1.34265787908977e-06	ENSG00000143801	PSEN2	protein_coding	chr1	226870184	226896105	chr1:226870184	PSEN2	protein_coding	chr1	226870184	226927726	chr1:226870184	ENSG00000143801
ZDHHC1	229.395040937638	-0.698139519626798	0.121118750565101	-5.76409116152125	8.20990331249129e-09	1.43976292495606e-06	ENSG00000159714	ZDHHC1	protein_coding	chr16	67394419	67416833	chr16:67394419	ZDHHC1	protein_coding	chr16	67394152	67416833	chr16:67394152	ENSG00000159714
ACSS2	810.857531749566	-0.394459808090183	0.0687721713880762	-5.73574747064878	9.70832228798538e-09	1.67365176563038e-06	ENSG00000131069	ACSS2	protein_coding	chr20	34872146	34927962	chr20:34872146	ACSS2	protein_coding	chr20	34872146	34927962	chr20:34872146	ENSG00000131069
LRRC8E	188.429823854174	-0.664897319089723	0.115943638013957	-5.73465979228357	9.77082695297079e-09	1.67365176563038e-06	ENSG00000171017	LRRC8E	protein_coding	chr19	7888505	7902021	chr19:7888505	LRRC8E	protein_coding	chr19	7888505	7902021	chr19:7888505	ENSG00000171017
OLA1	2669.01715039821	-0.243711021853992	0.042774026464367	-5.69764041402592	1.21476924203128e-08	2.05686962119113e-06	ENSG00000138430	OLA1	protein_coding	chr2	174072447	174248698	chr2:174072447	OLA1	protein_coding	chr2	174072447	174248599	chr2:174072447	ENSG00000138430
GSTP1	4649.78167735169	-0.45651009837644	0.080360366985894	-5.68078663026232	1.34076654966569e-08	2.24441273217332e-06	ENSG00000084207	GSTP1	protein_coding	chr11	67583595	67586660	chr11:67583595	GSTP1	protein_coding	chr11	67583742	67586656	chr11:67583742	ENSG00000084207
PELI3	245.679526546405	-0.573445766677239	0.101009079014387	-5.67717053033975	1.36940939357839e-08	2.26660334570823e-06	ENSG00000174516	PELI3	protein_coding	chr11	66466327	66477337	chr11:66466327	PELI3	protein_coding	chr11	66466327	66477337	chr11:66466327	ENSG00000174516
MFSD2A	72.4555549586593	-0.824143235461033	0.146265053466825	-5.63458745562869	1.75477893626958e-08	2.84062071540519e-06	ENSG00000168389	MFSD2A	protein_coding	chr1	39955112	39969968	chr1:39955112	MFSD2A	protein_coding	chr1	39955112	39969968	chr1:39955112	ENSG00000168389
CCNG2	1556.13018494214	0.257443036913632	0.0457683237669858	5.62491731670833	1.85596850669824e-08	2.97176870349693e-06	ENSG00000138764	CCNG2	protein_coding	chr4	77157151	77433388	chr4:77157151	CCNG2	protein_coding	chr4	77157207	77433388	chr4:77157207	ENSG00000138764
SEMA4F	487.164647175609	-0.350693685576278	0.0625296585873956	-5.608437555854	2.04161333683006e-08	3.23387161987565e-06	ENSG00000135622	SEMA4F	protein_coding	chr2	74654228	74683853	chr2:74654228	SEMA4F	protein_coding	chr2	74654228	74683853	chr2:74654228	ENSG00000135622
RHOD	366.928470251562	-0.574293604766235	0.102757114174552	-5.58884520433973	2.28584599408823e-08	3.58221248286317e-06	ENSG00000173156	RHOD	protein_coding	chr11	67056818	67072013	chr11:67056818	RHOD	protein_coding	chr11	67056847	67072017	chr11:67056847	ENSG00000173156
IQSEC1	1706.6906370477	-0.330229003544182	0.0592091563454691	-5.57732999297249	2.44238283705198e-08	3.78723595501187e-06	ENSG00000144711	IQSEC1	protein_coding	chr3	12897220	13073117	chr3:12897220	IQSEC1	protein_coding	chr3	12897043	13283281	chr3:12897043	ENSG00000144711
JADE1	1095.31613243941	0.293662392295181	0.0527397757645319	5.56813881056871	2.57474679884462e-08	3.95089532226876e-06	ENSG00000077684	JADE1	protein_coding	chr4	128809623	128875224	chr4:128809623	JADE1	protein_coding	chr4	128809700	128875224	chr4:128809700	ENSG00000077684
EFS	416.72524605762	-0.460368590634334	0.0830284592922436	-5.5447083392687	2.94444556275063e-08	4.47161109122469e-06	ENSG00000100842	EFS	protein_coding	chr14	23356402	23365752	chr14:23356402	EFS	protein_coding	chr14	23356403	23365752	chr14:23356403	ENSG00000100842
