Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_type.84	chr	start	stop	loc.84	gene_name.107	gene_type.107	chr.107	start.107	stop.107	loc.107	gene_id.107
AAR2	AAR2	2386.07161936298	0.0152758661346517	0.0183188337496415	0.83388857300758	0.404343777042226	0.678040977894999	ENSG00000131043	protein_coding	chr20	36236459	36270918	chr20:36236459	AAR2	protein_coding	chr20	36236131	36270918	chr20:36236131	ENSG00000131043
AARS	AARS	19194.8926939228	-0.0576191582486009	0.0236598027920246	-2.43531861846387	0.0148786819652345	0.0908441841893915	ENSG00000090861	protein_coding	chr16	70252295	70289543	chr16:70252295	AARS1	protein_coding	chr16	70251983	70289707	chr16:70251983	ENSG00000090861
AARS2	AARS2	1740.96496690603	0.029097151484686	0.0182619776506226	1.59331875448298	0.111088701486904	0.33491569289148	ENSG00000124608	protein_coding	chr6	44299654	44313326	chr6:44299654	AARS2	protein_coding	chr6	44298731	44313347	chr6:44298731	ENSG00000124608
AARSD1	AARSD1	1369.87314888388	-0.0107141589583395	0.0206811601167221	-0.518063730364739	0.604413804823813	0.819234853230205	ENSG00000266967	protein_coding	chr17	42950526	42964498	chr17:42950526	AARSD1	protein_coding	chr17	42950526	42964498	chr17:42950526	ENSG00000266967
AASDH	AASDH	1279.46531123768	-0.0502473514978107	0.0192737075742385	-2.60704129209535	0.00913283460851378	0.0649929108969987	ENSG00000157426	protein_coding	chr4	56338287	56387508	chr4:56338287	AASDH	protein_coding	chr4	56338287	56387508	chr4:56338287	ENSG00000157426
AASDHPPT	AASDHPPT	4422.31637320049	-0.000228391578544794	0.0216185489979323	-0.0105646118324888	0.99157081612658	0.996944334748154	ENSG00000149313	protein_coding	chr11	106075501	106098710	chr11:106075501	AASDHPPT	protein_coding	chr11	106075501	106098699	chr11:106075501	ENSG00000149313
AATF	AATF	6947.77043395172	-0.00338866709337107	0.0204309178665614	-0.165859758014944	0.868267317227776	0.949998824575041	ENSG00000275700	protein_coding	chr17	36948875	37056871	chr17:36948875	AATF	protein_coding	chr17	36948925	37056871	chr17:36948925	ENSG00000275700
ABALON	ABALON	148.860655464059	0.0310891309207091	0.0360161445212247	0.863199860340073	0.388027590479303	0.66481364232593	ENSG00000281376	antisense	chr20	31721507	31723409	chr20:31721507	ABALON	lncRNA	chr20	31721507	31723409	chr20:31721507	ENSG00000281376
ABCA3	ABCA3	295.290078840636	-0.212240177676345	0.0703939953039923	-3.01503241519107	0.00256951792543549	0.0257481785191153	ENSG00000167972	protein_coding	chr16	2275881	2340746	chr16:2275881	ABCA3	protein_coding	chr16	2275881	2340746	chr16:2275881	ENSG00000167972
ABCA5	ABCA5	2393.62766025287	-0.0702902204486092	0.0389461677221024	-1.80480454329063	0.0711052732049243	0.254379721725607	ENSG00000154265	protein_coding	chr17	69244311	69327244	chr17:69244311	ABCA5	protein_coding	chr17	69244311	69327244	chr17:69244311	ENSG00000154265
ABCA6	ABCA6	1698.44555430487	-0.0215074392492764	0.0676158734250894	-0.31808269508053	0.750422209806751	0.895754205069066	ENSG00000154262	protein_coding	chr17	69078702	69141888	chr17:69078702	ABCA6	protein_coding	chr17	69078702	69141895	chr17:69078702	ENSG00000154262
ABCA7	ABCA7	750.605589669589	-0.149384924847633	0.044381059209657	-3.36596123454232	0.000762774271334817	0.0103346796941908	ENSG00000064687	protein_coding	chr19	1040101	1065572	chr19:1040101	ABCA7	protein_coding	chr19	1039997	1065572	chr19:1039997	ENSG00000064687
ABCB10	ABCB10	2885.0549392077	0.0598320029344338	0.0294160969783889	2.03398849882738	0.0419527550711848	0.181486190883551	ENSG00000135776	protein_coding	chr1	229516582	229558695	chr1:229516582	ABCB10	protein_coding	chr1	229516582	229558707	chr1:229516582	ENSG00000135776
ABCB4	ABCB4	665.274536500861	-0.0879951652972796	0.0524528975327338	-1.67760351546576	0.0934245260737879	0.302044878949908	ENSG00000005471	protein_coding	chr7	87401697	87480435	chr7:87401697	ABCB4	protein_coding	chr7	87401696	87480435	chr7:87401696	ENSG00000005471
ABCB6	ABCB6	1386.16594280566	0.0571294213803478	0.0268382335755906	2.12865802883194	0.0332825637078645	0.155994332772058	ENSG00000115657	protein_coding	chr2	219209768	219218990	chr2:219209768	ABCB6	protein_coding	chr2	219209772	219218994	chr2:219209772	ENSG00000115657
ABCB7	ABCB7	3640.63054571101	-0.064544101092328	0.0214597885472061	-3.00767647129176	0.00263253230866229	0.0262058814451029	ENSG00000131269	protein_coding	chrX	75053172	75156732	chrX:75053172	ABCB7	protein_coding	chrX	75051048	75156732	chrX:75051048	ENSG00000131269
ABCB8	ABCB8	1048.05999751004	0.026811015616315	0.029857737004054	0.89795873051848	0.369207551796717	0.649013427941937	ENSG00000197150	protein_coding	chr7	151028422	151047782	chr7:151028422	ABCB8	protein_coding	chr7	151028422	151047782	chr7:151028422	ENSG00000197150
ABCC1	ABCC1	6741.05015547927	-0.0305578516014566	0.0249125761285433	-1.22660344092016	0.219971675298318	0.493408310509197	ENSG00000103222	protein_coding	chr16	15949577	16143074	chr16:15949577	ABCC1	protein_coding	chr16	15949138	16143257	chr16:15949138	ENSG00000103222
ABCC10	ABCC10	960.498211366711	0.0568946554974222	0.0359939571540028	1.58067242381809	0.113952956750752	0.339302193429022	ENSG00000124574	protein_coding	chr6	43427366	43450430	chr6:43427366	ABCC10	protein_coding	chr6	43427366	43450427	chr6:43427366	ENSG00000124574
ABCC4	ABCC4	4770.35251007241	-0.0783853682671133	0.0397264577567575	-1.97312755008417	0.0484810321644252	0.199113967999934	ENSG00000125257	protein_coding	chr13	95019829	95301446	chr13:95019829	ABCC4	protein_coding	chr13	95019835	95301475	chr13:95019835	ENSG00000125257
ABCC5	ABCC5	449.884231595961	-0.0969652867286041	0.0349989958821885	-2.77051624723757	0.00559675079345087	0.0461689515120147	ENSG00000114770	protein_coding	chr3	183919934	184018015	chr3:183919934	ABCC5	protein_coding	chr3	183919934	184017939	chr3:183919934	ENSG00000114770
ABCD1	ABCD1	482.35006506533	0.107191129689725	0.0339124185177004	3.16082232925313	0.00157324429673978	0.0178489092314856	ENSG00000101986	protein_coding	chrX	153724868	153744762	chrX:153724868	ABCD1	protein_coding	chrX	153724856	153744755	chrX:153724856	ENSG00000101986
ABCD2	ABCD2	843.652165661066	0.0806294456634811	0.0602367518197687	1.33854238861897	0.180719692054523	0.443221846392803	ENSG00000173208	protein_coding	chr12	39550033	39619751	chr12:39550033	ABCD2	protein_coding	chr12	39550033	39619803	chr12:39550033	ENSG00000173208
ABCD3	ABCD3	2312.31057938599	-0.0289753653871658	0.0313546054303615	-0.924118322953225	0.355424714449961	0.635809803537584	ENSG00000117528	protein_coding	chr1	94418455	94518666	chr1:94418455	ABCD3	protein_coding	chr1	94418389	94518666	chr1:94418389	ENSG00000117528
ABCD4	ABCD4	915.35234502108	0.0614773204696318	0.024276663839305	2.53236280226023	0.0113296697628249	0.0756961477169825	ENSG00000119688	protein_coding	chr14	74285423	74303056	chr14:74285423	ABCD4	protein_coding	chr14	74285269	74303055	chr14:74285269	ENSG00000119688
ABCE1	ABCE1	14328.619013181	-0.00390736713355232	0.0255422278796484	-0.152976754884629	0.878416606424736	0.954858646092031	ENSG00000164163	protein_coding	chr4	145097932	145129179	chr4:145097932	ABCE1	protein_coding	chr4	145098288	145129524	chr4:145098288	ENSG00000164163
ABCF1	ABCF1	7498.70889038627	0.00627042953885793	0.0169652724203873	0.369603822649067	0.711677702440083	0.87795755302121	ENSG00000204574	protein_coding	chr6	30571376	30597179	chr6:30571376	ABCF1	protein_coding	chr6	30571393	30597179	chr6:30571393	ENSG00000204574
ABCF2	ABCF2	6076.69701639204	-0.0177745539475877	0.0295531729302372	-0.601443167863769	0.547544854047829	0.783131929328793	ENSG00000033050	protein_coding	chr7	151207837	151227230	chr7:151207837	ABCF2	protein_coding	chr7	151211484	151227205	chr7:151211484	ENSG00000033050
ABCF3	ABCF3	2297.55918663717	-0.0113334202030001	0.0173557973120648	-0.653004872044786	0.51375313759536	0.760786406565392	ENSG00000161204	protein_coding	chr3	184186023	184194012	chr3:184186023	ABCF3	protein_coding	chr3	184186095	184194012	chr3:184186095	ENSG00000161204
ABCG1	ABCG1	963.518238633406	0.179546672334986	0.0882826211261994	2.03377142686243	0.0419746466872654	0.181523166074351	ENSG00000160179	protein_coding	chr21	42199689	42297244	chr21:42199689	ABCG1	protein_coding	chr21	42199689	42297244	chr21:42199689	ENSG00000160179
ABHD10	ABHD10	2469.49877042035	0.0341799390021546	0.0219187473335484	1.5593929015204	0.118903415367129	0.347837238546033	ENSG00000144827	protein_coding	chr3	111979010	111993363	chr3:111979010	ABHD10	protein_coding	chr3	111979010	111993368	chr3:111979010	ENSG00000144827
ABHD11	ABHD11	340.169649768657	0.11015050796132	0.0280983025977632	3.92018370426719	8.84814953822393e-05	0.00197475599948253	ENSG00000106077	protein_coding	chr7	73736094	73738867	chr7:73736094	ABHD11	protein_coding	chr7	73736094	73738852	chr7:73736094	ENSG00000106077
ABHD12	ABHD12	2222.87747697072	-0.0764363335488509	0.0211556243008507	-3.61305024431622	0.000302616036154814	0.0050852204321358	ENSG00000100997	protein_coding	chr20	25294743	25390983	chr20:25294743	ABHD12	protein_coding	chr20	25294742	25390835	chr20:25294742	ENSG00000100997
ABHD13	ABHD13	1328.28213883649	-0.0632133200252541	0.0255226363714876	-2.47675510888336	0.0132582837097544	0.0839238870655138	ENSG00000139826	protein_coding	chr13	108218379	108234255	chr13:108218379	ABHD13	protein_coding	chr13	108218392	108234243	chr13:108218392	ENSG00000139826
ABHD14A	ABHD14A	291.133337836291	-0.0342201140324902	0.0353643775280653	-0.967643612709798	0.333222388143102	0.61491248536128	ENSG00000248487	protein_coding	chr3	51971426	51981199	chr3:51971426	ABHD14A	protein_coding	chr3	51971426	51981196	chr3:51971426	ENSG00000248487
ABHD14B	ABHD14B	3364.56961391214	0.0418102343878383	0.030726465536272	1.36072384695474	0.173600975559327	0.432547682119888	ENSG00000114779	protein_coding	chr3	51968510	51983409	chr3:51968510	ABHD14B	protein_coding	chr3	51968510	51983409	chr3:51968510	ENSG00000114779
ABHD15	ABHD15	669.835509393836	0.0371772659985365	0.0398837442909064	0.93214081725554	0.351263756142668	0.632335191531624	ENSG00000168792	protein_coding	chr17	29560547	29567137	chr17:29560547	ABHD15	protein_coding	chr17	29560547	29567037	chr17:29560547	ENSG00000168792
ABHD16A	ABHD16A	999.458416551714	-0.0668558818832314	0.0250366400518356	-2.67032164638761	0.00757786177480401	0.0570299605657864	ENSG00000204427	protein_coding	chr6	31686949	31703444	chr6:31686949	ABHD16A	protein_coding	chr6	31686955	31703356	chr6:31686955	ENSG00000204427
ABHD17A	ABHD17A	3007.38712727635	0.0130455326993044	0.0237234325290299	0.549900722980993	0.582387468322857	0.805657428937393	ENSG00000129968	protein_coding	chr19	1876810	1885547	chr19:1876810	ABHD17A	protein_coding	chr19	1876810	1885496	chr19:1876810	ENSG00000129968
ABHD17B	ABHD17B	1622.6257472012	0.0305441668696553	0.0225761699934071	1.35293838053908	0.176075316691329	0.435925100137283	ENSG00000107362	protein_coding	chr9	71862452	71910931	chr9:71862452	ABHD17B	protein_coding	chr9	71862452	71911193	chr9:71862452	ENSG00000107362
ABHD17C	ABHD17C	281.660089784114	0.0782421997605182	0.0902238226100405	0.867201117144986	0.385831824283495	0.66352518064527	ENSG00000136379	protein_coding	chr15	80679684	80755621	chr15:80679684	ABHD17C	protein_coding	chr15	80679684	80755621	chr15:80679684	ENSG00000136379
ABHD18	ABHD18	1225.61056474541	-0.0503353923501952	0.0203499648498175	-2.47348792598267	0.0133801325252042	0.0844427143204433	ENSG00000164074	protein_coding	chr4	127965306	128039711	chr4:127965306	ABHD18	protein_coding	chr4	127965306	128039953	chr4:127965306	ENSG00000164074
ABHD2	ABHD2	4233.66809143674	0.0243628292132548	0.0225816860699933	1.07887556038733	0.280643205059208	0.562084117116647	ENSG00000140526	protein_coding	chr15	89087459	89202360	chr15:89087459	ABHD2	protein_coding	chr15	89087459	89202355	chr15:89087459	ENSG00000140526
ABHD3	ABHD3	1042.17177971268	-0.045121092596681	0.0339275602525846	-1.32992447027616	0.183543158040926	0.446833183063218	ENSG00000158201	protein_coding	chr18	21650897	21704805	chr18:21650897	ABHD3	protein_coding	chr18	21650901	21704780	chr18:21650901	ENSG00000158201
ABHD4	ABHD4	2212.10587666176	-0.0612790030355461	0.0432107141641742	-1.4181437224741	0.156148808458224	0.408338961041295	ENSG00000100439	protein_coding	chr14	22598237	22613215	chr14:22598237	ABHD4	protein_coding	chr14	22598290	22612963	chr14:22598290	ENSG00000100439
ABHD5	ABHD5	665.517203591455	-0.00777037195375265	0.0319410774958106	-0.24327206728614	0.807794641572696	0.92250602437253	ENSG00000011198	protein_coding	chr3	43690113	43734371	chr3:43690113	ABHD5	protein_coding	chr3	43690108	43734371	chr3:43690108	ENSG00000011198
ABHD6	ABHD6	925.626119356831	-0.288006226208264	0.0623064287614659	-4.62241588762642	3.7929662377597e-06	0.000154942101298034	ENSG00000163686	protein_coding	chr3	58237506	58295693	chr3:58237506	ABHD6	protein_coding	chr3	58237532	58295693	chr3:58237532	ENSG00000163686
ABHD8	ABHD8	823.912608467301	0.144162759396451	0.0335553548565882	4.29626687044695	1.73698456917742e-05	0.000525151628618506	ENSG00000127220	protein_coding	chr19	17292131	17310236	chr19:17292131	ABHD8	protein_coding	chr19	17292131	17310236	chr19:17292131	ENSG00000127220
ABI1	ABI1	7285.34094914333	-0.10860705911058	0.0244289792352824	-4.44582878656347	8.7553660511789e-06	0.000298494346852598	ENSG00000136754	protein_coding	chr10	26746593	26861087	chr10:26746593	ABI1	protein_coding	chr10	26746593	26861087	chr10:26746593	ENSG00000136754
ABI2	ABI2	3479.90964363734	-0.0856138331751737	0.025541903292388	-3.35189716267889	0.000802598259060344	0.0107515726955986	ENSG00000138443	protein_coding	chr2	203328219	203447723	chr2:203328219	ABI2	protein_coding	chr2	203328280	203447728	chr2:203328280	ENSG00000138443
ABI3	ABI3	3094.35627753706	-0.120195416516166	0.0354400607739714	-3.39151270881685	0.000695079394637942	0.00963829256397546	ENSG00000108798	protein_coding	chr17	49210227	49223225	chr17:49210227	ABI3	protein_coding	chr17	49210411	49223225	chr17:49210411	ENSG00000108798
ABL1	ABL1	4895.03712161503	0.135249730973312	0.0231956185816064	5.83083096048848	5.51520335523525e-09	6.12435193806246e-07	ENSG00000097007	protein_coding	chr9	130713946	130887675	chr9:130713946	ABL1	protein_coding	chr9	130713016	130887675	chr9:130713016	ENSG00000097007
ABL2	ABL2	982.743279238241	0.0753764635212727	0.0283862888499845	2.65538281244235	0.00792184527476225	0.0587412707945439	ENSG00000143322	protein_coding	chr1	179099327	179229684	chr1:179099327	ABL2	protein_coding	chr1	179099330	179229684	chr1:179099330	ENSG00000143322
ABLIM1	ABLIM1	4221.03573691712	-0.0467693870790524	0.076985585701546	-0.607508362154517	0.543513594878859	0.780431248338748	ENSG00000099204	protein_coding	chr10	114431113	114685003	chr10:114431113	ABLIM1	protein_coding	chr10	114431112	114768061	chr10:114431112	ENSG00000099204
ABR	ABR	6490.7479361153	-0.036514340181046	0.0233457301699823	-1.56406931439634	0.117801291321677	0.345952281055434	ENSG00000159842	protein_coding	chr17	1003518	1229021	chr17:1003518	ABR	protein_coding	chr17	1003519	1229738	chr17:1003519	ENSG00000159842
ABRACL	ABRACL	4150.89208967563	-0.0464790533354207	0.0310636153957212	-1.49625382439621	0.134587523128955	0.37420420585042	ENSG00000146386	protein_coding	chr6	139028682	139043302	chr6:139028682	ABRACL	protein_coding	chr6	139028745	139043302	chr6:139028745	ENSG00000146386
ABT1	ABT1	3105.58290574836	0.00412220604500443	0.0190095611941014	0.216849089934992	0.828325953823765	0.931695538959227	ENSG00000146109	protein_coding	chr6	26596952	26600744	chr6:26596952	ABT1	protein_coding	chr6	26596953	26600739	chr6:26596953	ENSG00000146109
ABTB1	ABTB1	459.721987706467	-0.00974246580313646	0.0454457210708645	-0.214375865836628	0.830253960456658	0.932747601325781	ENSG00000114626	protein_coding	chr3	127672935	127680920	chr3:127672935	ABTB1	protein_coding	chr3	127672935	127680926	chr3:127672935	ENSG00000114626
ABTB2	ABTB2	1481.61315902181	0.299704520690706	0.0817182173751087	3.66753620327988	0.000244898884265351	0.00434619637659696	ENSG00000166016	protein_coding	chr11	34150988	34358008	chr11:34150988	ABTB2	protein_coding	chr11	34150987	34358010	chr11:34150987	ENSG00000166016
AC002310.12	AC002310.12	164.214155570083	-0.00260260884595311	0.0327684107064654	-0.079424323299256	0.936695122555383	0.97846651737803	ENSG00000235560	antisense	chr16	30534752	30537144	chr16:30534752	ZNF747-DT	lncRNA	chr16	30534752	30537149	chr16:30534752	ENSG00000235560
AC002467.7	AC002467.7	69.4007714625153	-0.0406374458579317	0.0378888353562186	-1.07254407468247	0.283475728589683	0.565123519602178	ENSG00000241764	antisense	chr7	107742817	107744581	chr7:107742817	CBLL1-AS1	lncRNA	chr7	107739999	107744581	chr7:107739999	ENSG00000241764
AC003956.1	AC003956.1	12.8359988949394	-0.0412005486716688	0.0756453151553233	-0.544654333015486	0.585991278657929	0.807582124875518	ENSG00000268564	antisense	chr19	15124160	15126174	chr19:15124160	ILVBL-AS1	lncRNA	chr19	15124160	15126174	chr19:15124160	ENSG00000268564
AC004381.6	AC004381.6	924.796378954741	-0.0440682316863489	0.0303094907583413	-1.45394167251791	0.145962477952205	0.391893336146028	ENSG00000005189	protein_coding	chr16	20806429	20849668	chr16:20806429	REXO5	protein_coding	chr16	20806429	20849665	chr16:20806429	ENSG00000005189
AC004510.3	AC004510.3	17.2566411514235	0.29524625845469	0.0891718313756442	3.31098121346123	0.000929694499046202	0.0120789248047044	ENSG00000267308	lincRNA	chr19	15827045	15835853	chr19:15827045	LINC01764	lncRNA	chr19	15827005	15835853	chr19:15827005	ENSG00000267308
AC005083.1	AC005083.1	364.144513448819	0.00681766855551215	0.0500899495339543	0.136108513163717	0.891735497629693	0.959635930086366	ENSG00000233834	processed_transcript	chr7	20217577	20221700	chr7:20217577	MACC1-DT	lncRNA	chr7	20217536	20221702	chr7:20217536	ENSG00000233834
AC005152.3	AC005152.3	9.14406896759739	0.0301172566879715	0.144357058427272	0.208630301947755	0.8347368535404	0.934676127965201	ENSG00000228639	lincRNA	chr17	72021851	72034092	chr17:72021851	ROCR	lncRNA	chr17	72021851	72058073	chr17:72021851	ENSG00000228639
AC005154.6	AC005154.6	410.335040414571	0.0486271651638241	0.0299540598590513	1.62339146655375	0.104505747747399	0.323935669729491	ENSG00000196295	processed_transcript	chr7	30516309	30594809	chr7:30516309	GARS1-DT	lncRNA	chr7	30516309	30595286	chr7:30516309	ENSG00000196295
AC005592.2	AC005592.2	11.244061007508	0.0891588572163726	0.148543671129095	0.600219831236613	0.548359738809857	0.783697135758345	ENSG00000231185	antisense	chr5	142325293	142672001	chr5:142325293	SPRY4-AS1	lncRNA	chr5	142325209	142672001	chr5:142325209	ENSG00000231185
AC005624.2	AC005624.2	10.6991946661617	-0.0637767250322372	0.0761970587994582	-0.836997202216034	0.402594140674368	0.677280249269531	ENSG00000267201	lincRNA	chr19	2458935	2462185	chr19:2458935	LINC01775	lncRNA	chr19	2458935	2462185	chr19:2458935	ENSG00000267201
AC005682.5	AC005682.5	237.953624548827	-0.0670775375901904	0.0470137846084831	-1.4267631961305	0.153648162915927	0.404152752614397	ENSG00000228649	processed_transcript	chr7	22854178	22861579	chr7:22854178	SNHG26	lncRNA	chr7	22854126	22872952	chr7:22854126	ENSG00000228649
AC006145.4	AC006145.4	114.325338488016	0.0414286105302641	0.030215689702664	1.37109597490378	0.170345039568473	0.427878173988672	ENSG00000223770	antisense	chr7	82009177	82029955	chr7:82009177	CACNA2D1-AS1	lncRNA	chr7	82009177	82029955	chr7:82009177	ENSG00000223770
AC007246.3	AC007246.3	250.104386250513	-0.142078014526772	0.0531380308957179	-2.67375384694998	0.00750074848019916	0.0566533490150745	ENSG00000231312	antisense	chr2	39436637	39665343	chr2:39436637	MAP4K3-DT	lncRNA	chr2	39436530	39665343	chr2:39436530	ENSG00000231312
AC007383.3	AC007383.3	127.143550922571	0.184274803709761	0.0411465495384689	4.47849955285991	7.51695279603044e-06	0.000265594184431606	ENSG00000227946	lincRNA	chr2	206084605	206086564	chr2:206084605	INO80D-AS1	lncRNA	chr2	206084605	206086863	chr2:206084605	ENSG00000227946
AC007386.2	AC007386.2	264.785857852364	0.0356737049283901	0.0438909972167779	0.812779549122511	0.416344462863919	0.688900564130823	ENSG00000237638	lincRNA	chr2	64901840	64905137	chr2:64901840	LINC02245	lncRNA	chr2	64901840	65056226	chr2:64901840	ENSG00000237638
AC007392.3	AC007392.3	18.092510423231	-0.0773152692085937	0.0589644990108459	-1.31121726641606	0.189784370501487	0.454929188505053	ENSG00000232046	lincRNA	chr2	66574030	66730157	chr2:66574030	LINC01798	lncRNA	chr2	66574030	66731223	chr2:66574030	ENSG00000232046
AC007773.2	AC007773.2	55.4797153489611	0.0687549073127787	0.0456054828124332	1.50760178541591	0.131656475528906	0.369384136245468	ENSG00000267213	antisense	chr19	32390050	32405560	chr19:32390050	DPY19L3-DT	lncRNA	chr19	32390050	32405560	chr19:32390050	ENSG00000267213
AC009005.2	AC009005.2	109.069969186529	-0.166711175840456	0.0592503413155393	-2.81367452303154	0.004897879140987	0.041834521197694	ENSG00000267751	antisense	chr19	567210	572228	chr19:567210	BSG-AS1	lncRNA	chr19	562360	572228	chr19:562360	ENSG00000267751
AC009133.12	AC009133.12	220.217611285972	0.0548792385164848	0.0243159363657842	2.25692474642709	0.0240127774475918	0.125657169309325	ENSG00000238045	antisense	chr16	29808636	29821252	chr16:29808636	MVP-DT	lncRNA	chr16	29808636	29821252	chr16:29808636	ENSG00000238045
AC009299.3	AC009299.3	403.422071980555	-0.0203663833851318	0.0521276161308668	-0.390702374227162	0.696017243706521	0.8714148703304	ENSG00000227403	lincRNA	chr2	161244739	161249050	chr2:161244739	LINC01806	lncRNA	chr2	161244720	161249095	chr2:161244720	ENSG00000227403
AC009403.2	AC009403.2	233.121774133096	0.11892572356447	0.0259346582016233	4.58559054990846	4.52705018401012e-06	0.000179799893877634	ENSG00000216895	antisense	chr7	155611231	155645205	chr7:155611231	RBM33-DT	lncRNA	chr7	155611231	155645205	chr7:155611231	ENSG00000216895
AC009506.1	AC009506.1	93.3222408420933	-0.0801062534062421	0.0468595377643179	-1.70949730253721	0.0873588709530498	0.289945765908097	ENSG00000224152	antisense	chr2	159615296	159617082	chr2:159615296	BAZ2B-AS1	lncRNA	chr2	159615292	159618637	chr2:159615292	ENSG00000224152
AC009892.10	AC009892.10	72.3841086456823	-0.028646235099409	0.0618112144544769	-0.463447213458433	0.643043843281424	0.842529913530141	ENSG00000224730	antisense	chr19	54635722	54638892	chr19:54635722	LILRB1-AS1	lncRNA	chr19	54635722	54638892	chr19:54635722	ENSG00000224730
AC009948.5	AC009948.5	921.291705693567	0.0677524161777943	0.0302629812380857	2.23878855968521	0.0251696770078227	0.130158949377462	ENSG00000223960	antisense	chr2	178413939	178440243	chr2:178413939	CHROMR	lncRNA	chr2	178413635	178440243	chr2:178413635	ENSG00000223960
AC010226.4	AC010226.4	62.7188737285559	0.0789938661484593	0.0457443142969275	1.72685649271532	0.0841934397380438	0.28313556508198	ENSG00000249249	antisense	chr5	115602057	115620659	chr5:115602057	TICAM2-AS1	lncRNA	chr5	115602057	115623897	chr5:115602057	ENSG00000249249
AC012074.2	AC012074.2	38.6227237931916	0.149667926297008	0.0846569364505695	1.76793459073963	0.0770718392025356	0.267246553319422	ENSG00000235072	lincRNA	chr2	25369136	25375845	chr2:25369136	ARNILA	lncRNA	chr2	25369136	25375845	chr2:25369136	ENSG00000235072
AC012146.7	AC012146.7	183.929213950608	0.080462313559916	0.0482773442219267	1.66666818269948	0.0955804029247967	0.30630499817884	ENSG00000234327	processed_transcript	chr17	5111468	5115004	chr17:5111468	ZNF232-AS1	lncRNA	chr17	5097223	5115004	chr17:5097223	ENSG00000234327
AC013264.2	AC013264.2	19.3478460160644	-0.24216363473337	0.0748728201567482	-3.23433302266956	0.00121927193247029	0.014861788617736	ENSG00000231621	antisense	chr2	197197991	197199273	chr2:197197991	ANKRD44-AS1	lncRNA	chr2	197197927	197199276	chr2:197197927	ENSG00000231621
AC013461.1	AC013461.1	3460.85563471783	0.170320252831545	0.0435370719564498	3.91207412850171	9.15068125101733e-05	0.00202236745828739	ENSG00000091436	protein_coding	chr2	173075435	173268010	chr2:173075435	MAP3K20	protein_coding	chr2	173075435	173268015	chr2:173075435	ENSG00000091436
